question_id,question_subtype,split
amazon_agg_000,aggregate_cross_paper,train
amazon_agg_001,aggregate_cross_paper,test
amazon_agg_002,aggregate_cross_paper,test
amazon_agg_003,aggregate_cross_paper,test
amazon_agg_004,aggregate_cross_paper,train
amazon_agg_005,aggregate_cross_paper,train
amazon_agg_006,aggregate_cross_paper,test
amazon_agg_007,aggregate_cross_paper,train
amazon_agg_008,aggregate_cross_paper,test
amazon_agg_009,aggregate_cross_paper,train
amazon_agg_010,aggregate_cross_paper,train
amazon_agg_011,aggregate_cross_paper,train
amazon_agg_012,aggregate_cross_paper,train
amazon_agg_013,aggregate_cross_paper,train
amazon_agg_014,aggregate_cross_paper,test
amazon_agg_015,aggregate_cross_paper,train
amazon_agg_016,aggregate_cross_paper,train
amazon_agg_017,aggregate_cross_paper,test
amazon_agg_018,aggregate_cross_paper,train
amazon_agg_019,aggregate_cross_paper,train
amazon_agg_020,aggregate_cross_paper,test
amazon_agg_021,aggregate_cross_paper,test
amazon_agg_022,aggregate_cross_paper,train
amazon_agg_023,aggregate_cross_paper,test
amazon_agg_024,aggregate_cross_paper,test
amazon_agg_025,aggregate_cross_paper,train
amazon_agg_026,aggregate_cross_paper,train
amazon_agg_027,aggregate_cross_paper,train
amazon_agg_028,aggregate_cross_paper,train
amazon_agg_029,aggregate_cross_paper,test
amazon_agg_030,aggregate_cross_paper,train
amazon_agg_031,aggregate_cross_paper,train
amazon_agg_032,aggregate_cross_paper,test
amazon_agg_033,aggregate_cross_paper,train
amazon_agg_034,aggregate_cross_paper,train
amazon_agg_035,aggregate_cross_paper,train
amazon_agg_036,aggregate_cross_paper,test
amazon_agg_037,aggregate_cross_paper,test
amazon_agg_038,aggregate_cross_paper,test
amazon_agg_039,aggregate_cross_paper,train
amazon_agg_040,aggregate_cross_paper,train
amazon_agg_041,aggregate_cross_paper,test
amazon_agg_042,aggregate_cross_paper,train
amazon_agg_043,aggregate_cross_paper,test
amazon_agg_044,aggregate_cross_paper,train
amazon_agg_045,aggregate_cross_paper,train
amazon_agg_046,aggregate_cross_paper,test
amazon_agg_047,aggregate_cross_paper,train
amazon_agg_048,aggregate_cross_paper,test
amazon_agg_049,aggregate_cross_paper,train
