variant,node_type,question_id,question_subtype,scale,faithfulness,answer_relevance,context_relevance,composite
N7_E10b_T12a,N7,amazon_sh_000,single_specific,C,0.75,0.8558071758423685,1.0,0.8686023919474563
N7_E10b_T12a,N7,amazon_sh_001,single_specific,C,0.5,0.8280662809296397,1.0,0.7760220936432133
N7_E10b_T12a,N7,amazon_sh_002,single_specific,C,1.0,0.787650822885208,1.0,0.929216940961736
N7_E10b_T12a,N7,amazon_sh_003,single_specific,C,1.0,0.9924767789864228,1.0,0.997492259662141
N7_E10b_T12a,N7,amazon_sh_004,single_specific,C,0.0,0.9305137663020903,0.0,0.31017125543403007
N7_E10b_T12a,N7,amazon_sh_005,single_specific,C,1.0,0.8708110908642376,0.0,0.6236036969547459
N7_E10b_T12a,N7,amazon_sh_006,single_specific,C,1.0,0.7407188028529462,0.0,0.580239600950982
N7_E10b_T12a,N7,amazon_sh_007,single_specific,C,1.0,0.830502055055904,0.5,0.776834018351968
N7_E10b_T12a,N7,amazon_sh_008,single_specific,C,1.0,0.8951280054578863,0.0,0.6317093351526287
N7_E10b_T12a,N7,amazon_sh_009,single_specific,C,0.5,0.7978430272331574,1.0,0.7659476757443858
N7_E10b_T12a,N7,amazon_sh_010,single_specific,C,1.0,0.9683434857245241,1.0,0.9894478285748414
N7_E10b_T12a,N7,amazon_sh_011,single_specific,C,1.0,0.9414084349440972,1.0,0.9804694783146991
N7_E10b_T12a,N7,amazon_sh_012,single_specific,C,1.0,0.9058889985837609,1.0,0.968629666194587
N7_E10b_T12a,N7,amazon_sh_013,single_specific,C,1.0,0.879485931092081,1.0,0.9598286436973603
N7_E10b_T12a,N7,amazon_sh_014,single_specific,C,0.5,0.0,0.0,0.16666666666666666
N7_E10b_T12a,N7,amazon_sh_015,single_specific,C,1.0,0.4961436805151879,1.0,0.8320478935050627
N7_E10b_T12a,N7,amazon_sh_016,single_specific,C,1.0,0.9334835023024931,1.0,0.9778278341008311
N7_E10b_T12a,N7,amazon_sh_017,single_specific,C,1.0,0.8748170651599895,1.0,0.9582723550533299
N7_E10b_T12a,N7,amazon_sh_018,single_specific,C,1.0,0.9468635780592911,0.0,0.6489545260197637
N7_E10b_T12a,N7,amazon_sh_019,single_specific,C,0.8333333333333334,0.528818034196492,0.0,0.45405045584327514
N7_E10b_T12a,N7,amazon_sh_020,single_specific,C,1.0,0.9435916722471892,1.0,0.9811972240823964
N7_E10b_T12a,N7,amazon_sh_021,single_specific,C,1.0,0.9367608133256224,1.0,0.9789202711085409
N7_E10b_T12a,N7,amazon_sh_022,single_specific,C,1.0,0.9999996407447643,0.0,0.6666665469149214
N7_E10b_T12a,N7,amazon_sh_023,single_specific,C,1.0,0.8911233132301062,1.0,0.963707771076702
N7_E10b_T12a,N7,amazon_sh_024,single_specific,C,0.0,0.4277448884622252,1.0,0.47591496282074175
N7_E10b_T12a,N7,amazon_sh_025,single_specific,C,0.75,0.957380253274602,1.0,0.9024600844248672
N7_E10b_T12a,N7,amazon_sh_026,single_specific,C,1.0,0.8100546205453295,1.0,0.9366848735151098
N7_E10b_T12a,N7,amazon_sh_027,single_specific,C,0.75,0.9145888380019077,1.0,0.8881962793339692
N7_E10b_T12a,N7,amazon_sh_028,single_specific,C,1.0,0.0,0.0,0.3333333333333333
N7_E10b_T12a,N7,amazon_sh_029,single_specific,C,0.5,0.0,0.0,0.16666666666666666
N7_E10b_T12a,N7,amazon_sh_030,single_specific,C,0.5,0.911205396660547,0.0,0.47040179888684897
N7_E10b_T12a,N7,amazon_sh_031,single_specific,C,1.0,0.0,0.5,0.5
N7_E10b_T12a,N7,amazon_sh_032,single_specific,C,0.5,0.8640202275466243,1.0,0.7880067425155414
N7_E10b_T12a,N7,amazon_sh_033,single_specific,C,0.0,0.9355891266063224,0.0,0.3118630422021075
N7_E10b_T12a,N7,amazon_sh_034,single_specific,C,1.0,0.995740125978721,1.0,0.998580041992907
N7_E10b_T12a,N7,amazon_agg_000,aggregate_cross_paper,C,1.0,0.6027623604368787,1.0,0.8675874534789596
N7_E10b_T12a,N7,amazon_agg_001,aggregate_cross_paper,C,0.75,0.8208315862201331,1.0,0.8569438620733777
N7_E10b_T12a,N7,amazon_agg_002,aggregate_cross_paper,C,0.8,0.5543372447916196,1.0,0.7847790815972066
N7_E10b_T12a,N7,amazon_agg_003,aggregate_cross_paper,C,0.4,0.8551335705228363,1.0,0.7517111901742788
N7_E10b_T12a,N7,amazon_agg_004,aggregate_cross_paper,C,0.8,0.6972951294558483,1.0,0.832431709818616
N7_E10b_T12a,N7,amazon_agg_005,aggregate_cross_paper,C,0.5,0.46824773767003675,1.0,0.6560825792233456
N7_E10b_T12a,N7,amazon_agg_006,aggregate_cross_paper,C,0.8,0.5468082676007121,1.0,0.7822694225335707
N7_E10b_T12a,N7,amazon_agg_007,aggregate_cross_paper,C,1.0,0.5596331131941281,1.0,0.8532110377313761
N7_E10b_T12a,N7,amazon_agg_008,aggregate_cross_paper,C,1.0,0.6965518556526153,1.0,0.8988506185508718
N7_E10b_T12a,N7,amazon_agg_009,aggregate_cross_paper,C,0.16666666666666666,0.8132358980712034,0.5,0.4933008549126234
N7_E10b_T12a,N7,amazon_agg_010,aggregate_cross_paper,C,1.0,0.6571517751237451,0.5,0.719050591707915
N7_E10b_T12a,N7,amazon_agg_011,aggregate_cross_paper,C,0.75,0.7253907203900036,1.0,0.8251302401300012
N7_E10b_T12a,N7,amazon_agg_012,aggregate_cross_paper,C,0.8,0.8685136837606127,0.5,0.7228378945868709
N7_E10b_T12a,N7,amazon_agg_013,aggregate_cross_paper,C,0.6666666666666666,0.8946482952465966,0.5,0.687104987304421
N7_E10b_T12a,N7,amazon_agg_014,aggregate_cross_paper,C,0.25,0.8004873215367775,1.0,0.6834957738455926
N7_E10b_T12a,N7,amazon_agg_015,aggregate_cross_paper,C,0.6666666666666666,0.8537990469629321,0.5,0.6734885712098663
N7_E10b_T12a,N7,amazon_agg_016,aggregate_cross_paper,C,1.0,0.8538494269916925,1.0,0.9512831423305642
N7_E10b_T12a,N7,amazon_agg_017,aggregate_cross_paper,C,1.0,0.3919186938321832,1.0,0.7973062312773944
N7_E10b_T12a,N7,amazon_agg_018,aggregate_cross_paper,C,1.0,0.7422422425310823,1.0,0.9140807475103608
N7_E10b_T12a,N7,amazon_agg_019,aggregate_cross_paper,C,0.6666666666666666,0.7962283796495563,0.5,0.6542983487720743
N7_E10b_T12a,N7,amazon_agg_020,aggregate_cross_paper,C,0.3333333333333333,0.39059360316949343,0.0,0.24130897883427557
N7_E10b_T12a,N7,amazon_agg_021,aggregate_cross_paper,C,0.6,0.5080205591249558,1.0,0.7026735197083186
N7_E10b_T12a,N7,amazon_agg_022,aggregate_cross_paper,C,1.0,0.8176781494592742,1.0,0.9392260498197581
N7_E10b_T12a,N7,amazon_agg_023,aggregate_cross_paper,C,0.5,0.6652590910754121,1.0,0.7217530303584706
N7_E10b_T12a,N7,amazon_agg_024,aggregate_cross_paper,C,1.0,0.7178720850566142,1.0,0.905957361685538
N7_E10b_T12a,N7,amazon_agg_025,aggregate_cross_paper,C,0.5,0.43643324724198224,0.5,0.4788110824139941
N7_E10b_T12a,N7,amazon_agg_026,aggregate_cross_paper,C,0.0,0.7910757374729768,1.0,0.5970252458243256
N7_E10b_T12a,N7,amazon_agg_027,aggregate_cross_paper,C,0.5,0.7188444466326679,1.0,0.7396148155442227
N7_E10b_T12a,N7,amazon_agg_028,aggregate_cross_paper,C,0.6666666666666666,0.8102479087607405,1.0,0.8256381918091357
N7_E10b_T12a,N7,amazon_agg_029,aggregate_cross_paper,C,0.8571428571428571,0.7000006515941557,1.0,0.8523811695790043
N7_E10b_T12a,N7,amazon_agg_030,aggregate_cross_paper,C,1.0,0.5775770999685527,1.0,0.8591923666561843
N7_E10b_T12a,N7,amazon_agg_031,aggregate_cross_paper,C,0.3333333333333333,0.8428583497568396,1.0,0.7253972276967243
N7_E10b_T12a,N7,amazon_agg_032,aggregate_cross_paper,C,1.0,0.7626670490934867,1.0,0.9208890163644955
N7_E10b_T12a,N7,amazon_edge_000,edge_multihop,C,0.8,0.8373262475398544,0.0,0.5457754158466182
N7_E10b_T12a,N7,amazon_edge_001,edge_multihop,C,0.6666666666666666,0.8910209476596154,0.0,0.5192292047754273
N7_E10b_T12a,N7,amazon_edge_002,edge_multihop,C,1.0,0.0,0.0,0.3333333333333333
N7_E10b_T12a,N7,amazon_edge_003,edge_multihop,C,1.0,0.7555866932464781,0.5,0.7518622310821593
N7_E10b_T12a,N7,amazon_edge_004,edge_multihop,C,1.0,0.0,0.0,0.3333333333333333
