variant,node_type,question_id,question_subtype,split,faithfulness,answer_relevance,context_relevance,composite,wall_time_seconds
N7_E10b_T12a,N7,amazon_sh_000,single_specific,test,0.75,0.8558071758423685,1.0,0.8686023919474563,443.8211190700531
N7_E10b_T12a,N7,amazon_sh_001,single_specific,test,0.25,0.8280662809296397,1.0,0.6926887603098799,443.8211190700531
N7_E10b_T12a,N7,amazon_sh_002,single_specific,test,1.0,0.7876325801824163,1.0,0.9292108600608054,443.8211190700531
N7_E10b_T12a,N7,amazon_sh_003,single_specific,train,1.0,1.0,1.0,1.0,443.8211190700531
N7_E10b_T12a,N7,amazon_sh_004,single_specific,train,0.0,0.9011732211096252,0.0,0.3003910737032084,443.8211190700531
N7_E10b_T12a,N7,amazon_sh_005,single_specific,train,1.0,0.8632798289669369,0.0,0.6210932763223123,443.8211190700531
N7_E10b_T12a,N7,amazon_sh_006,single_specific,train,1.0,0.7407613366286152,0.0,0.5802537788762051,443.8211190700531
N7_E10b_T12a,N7,amazon_sh_007,single_specific,train,1.0,0.8304812466855305,0.5,0.7768270822285102,443.8211190700531
N7_E10b_T12a,N7,amazon_sh_008,single_specific,train,1.0,0.8951307141546169,1.0,0.9650435713848724,443.8211190700531
N7_E10b_T12a,N7,amazon_sh_009,single_specific,train,0.5,0.7978312026651628,0.0,0.4326104008883876,443.8211190700531
N7_E10b_T12a,N7,amazon_sh_010,single_specific,test,1.0,0.968343485724524,0.5,0.8227811619081747,443.8211190700531
N7_E10b_T12a,N7,amazon_sh_011,single_specific,train,1.0,0.9414084349440972,1.0,0.9804694783146992,443.8211190700531
N7_E10b_T12a,N7,amazon_sh_012,single_specific,train,1.0,0.9058626273266412,1.0,0.9686208757755472,443.8211190700531
N7_E10b_T12a,N7,amazon_sh_013,single_specific,train,1.0,0.8795075548331271,1.0,0.9598358516110423,443.8211190700531
N7_E10b_T12a,N7,amazon_sh_014,single_specific,train,0.5,0.0,0.0,0.1666666666666666,443.8211190700531
N7_E10b_T12a,N7,amazon_sh_015,single_specific,test,1.0,1.0,1.0,1.0,443.8211190700531
N7_E10b_T12a,N7,amazon_sh_016,single_specific,test,1.0,0.9334783211172428,1.0,0.9778261070390808,443.8211190700531
N7_E10b_T12a,N7,amazon_sh_017,single_specific,test,1.0,0.8748293269562432,1.0,0.9582764423187476,443.8211190700531
N7_E10b_T12a,N7,amazon_sh_018,single_specific,test,1.0,0.946864045309291,1.0,0.982288015103097,443.8211190700531
N7_E10b_T12a,N7,amazon_sh_019,single_specific,test,0.75,0.5288423159100011,0.5,0.592947438636667,443.8211190700531
N7_E10b_T12a,N7,amazon_sh_020,single_specific,train,1.0,0.9436084392363998,1.0,0.9812028130788,443.8211190700531
N7_E10b_T12a,N7,amazon_sh_021,single_specific,train,1.0,0.9367595847655704,1.0,0.9789198615885236,443.8211190700531
N7_E10b_T12a,N7,amazon_sh_022,single_specific,test,1.0,0.9999997604965096,0.0,0.6666665868321698,443.8211190700531
N7_E10b_T12a,N7,amazon_sh_023,single_specific,test,1.0,0.8911322288131812,1.0,0.9637107429377272,443.8211190700531
N7_E10b_T12a,N7,amazon_sh_024,single_specific,test,1.0,0.5775618455436269,1.0,0.8591872818478756,443.8211190700531
N7_E10b_T12a,N7,amazon_sh_025,single_specific,train,1.0,0.9565713656091198,1.0,0.9855237885363732,443.8211190700531
N7_E10b_T12a,N7,amazon_sh_026,single_specific,train,1.0,0.8100540930793697,1.0,0.9366846976931232,443.8211190700531
N7_E10b_T12a,N7,amazon_sh_027,single_specific,test,0.75,0.9145888380019076,1.0,0.8881962793339692,443.8211190700531
N7_E10b_T12a,N7,amazon_sh_028,single_specific,train,1.0,0.0,0.0,0.3333333333333333,443.8211190700531
N7_E10b_T12a,N7,amazon_sh_029,single_specific,test,0.0,0.0,0.0,0.0,443.8211190700531
N7_E10b_T12a,N7,amazon_sh_030,single_specific,test,0.5,0.9111668128641828,0.0,0.4703889376213943,443.8211190700531
N7_E10b_T12a,N7,amazon_sh_031,single_specific,test,1.0,0.0,0.5,0.5,443.8211190700531
N7_E10b_T12a,N7,amazon_sh_032,single_specific,test,0.5,0.8640145652830081,1.0,0.788004855094336,443.8211190700531
N7_E10b_T12a,N7,amazon_sh_033,single_specific,train,0.0,0.9355918946592476,0.0,0.3118639648864158,443.8211190700531
N7_E10b_T12a,N7,amazon_sh_034,single_specific,train,1.0,0.9957728779710776,1.0,0.9985909593236926,443.8211190700531
N7_E10b_T12a,N7,amazon_agg_000,aggregate_cross_paper,train,1.0,0.7731877990871846,1.0,0.9243959330290616,443.8211190700531
N7_E10b_T12a,N7,amazon_agg_001,aggregate_cross_paper,test,0.75,0.8208107927947775,1.0,0.8569369309315925,443.8211190700531
N7_E10b_T12a,N7,amazon_agg_002,aggregate_cross_paper,test,0.6,0.6225477465102588,1.0,0.7408492488367528,443.8211190700531
N7_E10b_T12a,N7,amazon_agg_003,aggregate_cross_paper,test,0.4,0.8549281597296998,1.0,0.7516427199099,443.8211190700531
N7_E10b_T12a,N7,amazon_agg_004,aggregate_cross_paper,train,0.8,0.7128433362148984,1.0,0.8376144454049661,443.8211190700531
N7_E10b_T12a,N7,amazon_agg_005,aggregate_cross_paper,train,0.75,0.4491338084653256,1.0,0.7330446028217752,443.8211190700531
N7_E10b_T12a,N7,amazon_agg_006,aggregate_cross_paper,test,0.8,0.5468132338303484,1.0,0.7822710779434495,443.8211190700531
N7_E10b_T12a,N7,amazon_agg_007,aggregate_cross_paper,train,0.8,0.5357720228659473,1.0,0.7785906742886491,443.8211190700531
N7_E10b_T12a,N7,amazon_agg_008,aggregate_cross_paper,test,1.0,0.6965361064907103,1.0,0.8988453688302368,443.8211190700531
N7_E10b_T12a,N7,amazon_agg_009,aggregate_cross_paper,train,0.3333333333333333,0.757883970505751,0.5,0.5304057679463614,443.8211190700531
N7_E10b_T12a,N7,amazon_agg_010,aggregate_cross_paper,train,1.0,0.657133682583922,1.0,0.8857112275279739,443.8211190700531
N7_E10b_T12a,N7,amazon_agg_011,aggregate_cross_paper,train,0.75,0.7748558360302349,1.0,0.8416186120100783,443.8211190700531
N7_E10b_T12a,N7,amazon_agg_012,aggregate_cross_paper,train,0.6,0.9082151361760272,0.5,0.6694050453920091,443.8211190700531
N7_E10b_T12a,N7,amazon_agg_013,aggregate_cross_paper,train,0.6666666666666666,0.8976671131435138,0.75,0.7714445932700601,443.8211190700531
N7_E10b_T12a,N7,amazon_agg_014,aggregate_cross_paper,test,0.25,0.8004872729091491,1.0,0.683495757636383,443.8211190700531
N7_E10b_T12a,N7,amazon_agg_015,aggregate_cross_paper,train,0.6666666666666666,0.8669672131616832,0.5,0.6778779599427832,443.8211190700531
N7_E10b_T12a,N7,amazon_agg_016,aggregate_cross_paper,train,1.0,0.8701044062189329,1.0,0.9567014687396442,443.8211190700531
N7_E10b_T12a,N7,amazon_agg_017,aggregate_cross_paper,test,1.0,0.3913844589731274,1.0,0.7971281529910424,443.8211190700531
N7_E10b_T12a,N7,amazon_agg_018,aggregate_cross_paper,train,1.0,0.7552043574959127,1.0,0.9184014524986376,443.8211190700531
N7_E10b_T12a,N7,amazon_agg_019,aggregate_cross_paper,train,0.6666666666666666,0.7890910937348563,0.25,0.5685859201338409,443.8211190700531
N7_E10b_T12a,N7,amazon_agg_020,aggregate_cross_paper,test,0.3333333333333333,0.424867805289254,0.5,0.4194003795408624,443.8211190700531
N7_E10b_T12a,N7,amazon_agg_021,aggregate_cross_paper,test,1.0,0.5080205591249558,1.0,0.8360068530416519,443.8211190700531
N7_E10b_T12a,N7,amazon_agg_022,aggregate_cross_paper,train,1.0,0.8176878460818893,1.0,0.9392292820272964,443.8211190700531
N7_E10b_T12a,N7,amazon_agg_023,aggregate_cross_paper,test,0.6,0.8705865103439021,1.0,0.8235288367813007,443.8211190700531
N7_E10b_T12a,N7,amazon_agg_024,aggregate_cross_paper,test,0.0,0.871924723208083,1.0,0.6239749077360277,443.8211190700531
N7_E10b_T12a,N7,amazon_agg_025,aggregate_cross_paper,train,0.5,0.4364003467167053,0.5,0.4788001155722352,443.8211190700531
N7_E10b_T12a,N7,amazon_agg_026,aggregate_cross_paper,train,1.0,0.7910907467593778,1.0,0.930363582253126,443.8211190700531
N7_E10b_T12a,N7,amazon_agg_027,aggregate_cross_paper,train,1.0,0.7841829700616875,1.0,0.9280609900205624,443.8211190700531
N7_E10b_T12a,N7,amazon_agg_028,aggregate_cross_paper,train,0.6,0.8102578229025902,1.0,0.8034192743008634,443.8211190700531
N7_E10b_T12a,N7,amazon_agg_029,aggregate_cross_paper,test,0.8571428571428571,0.7894737450594345,1.0,0.8822055340674305,443.8211190700531
N7_E10b_T12a,N7,amazon_agg_030,aggregate_cross_paper,train,0.9,0.5774828328121293,1.0,0.8258276109373764,443.8211190700531
N7_E10b_T12a,N7,amazon_agg_031,aggregate_cross_paper,train,0.3333333333333333,0.832121524931528,1.0,0.7218182860882871,443.8211190700531
N7_E10b_T12a,N7,amazon_agg_032,aggregate_cross_paper,test,1.0,0.7626813932746324,1.0,0.9208937977582108,443.8211190700531
N7_E10b_T12a,N7,amazon_edge_000,edge_multihop,test,0.8,0.8328496990374864,0.0,0.5442832330124955,443.8211190700531
N7_E10b_T12a,N7,amazon_edge_001,edge_multihop,test,0.6666666666666666,0.8891925295949319,0.5,0.6852863987538661,443.8211190700531
N7_E10b_T12a,N7,amazon_edge_002,edge_multihop,test,1.0,0.0,0.0,0.3333333333333333,443.8211190700531
N7_E10b_T12a,N7,amazon_edge_003,edge_multihop,test,1.0,0.7547119528815446,0.5,0.7515706509605149,443.8211190700531
