variant,node_type,question_id,question_subtype,split,faithfulness,answer_relevance,context_relevance,composite,wall_time_seconds
N7_E10b_T12a,N7,electronics_sh_000,single_specific,test,1.0,0.7634937700156391,0.0,0.5878312566718797,409.6762220859528
N7_E10b_T12a,N7,electronics_sh_001,single_specific,test,1.0,0.8098633103896333,1.0,0.936621103463211,409.6762220859528
N7_E10b_T12a,N7,electronics_sh_002,single_specific,test,1.0,0.4687065565845057,1.0,0.8229021855281685,409.6762220859528
N7_E10b_T12a,N7,electronics_sh_003,single_specific,train,1.0,0.7869106845437851,1.0,0.9289702281812616,409.6762220859528
N7_E10b_T12a,N7,electronics_sh_004,single_specific,train,1.0,0.8104943526456392,1.0,0.9368314508818796,409.6762220859528
N7_E10b_T12a,N7,electronics_sh_005,single_specific,train,0.75,0.918588858247392,0.75,0.806196286082464,409.6762220859528
N7_E10b_T12a,N7,electronics_sh_006,single_specific,train,1.0,0.9450216260455256,1.0,0.9816738753485084,409.6762220859528
N7_E10b_T12a,N7,electronics_sh_007,single_specific,train,0.0,0.7176058281115334,0.0,0.2392019427038444,409.6762220859528
N7_E10b_T12a,N7,electronics_sh_008,single_specific,train,1.0,0.91499129502916,1.0,0.97166376500972,409.6762220859528
N7_E10b_T12a,N7,electronics_sh_009,single_specific,train,1.0,0.7690856451278273,1.0,0.9230285483759424,409.6762220859528
N7_E10b_T12a,N7,electronics_sh_010,single_specific,test,1.0,0.4957120399635921,0.25,0.5819040133211973,409.6762220859528
N7_E10b_T12a,N7,electronics_sh_011,single_specific,train,1.0,0.9999996130214992,1.0,0.9999998710071664,409.6762220859528
N7_E10b_T12a,N7,electronics_sh_012,single_specific,train,1.0,0.9999996554001288,1.0,0.9999998851333762,409.6762220859528
N7_E10b_T12a,N7,electronics_sh_013,single_specific,train,1.0,0.814828667186151,1.0,0.9382762223953836,409.6762220859528
N7_E10b_T12a,N7,electronics_sh_014,single_specific,train,0.0,0.9908524204159418,0.5,0.4969508068053139,409.6762220859528
N7_E10b_T12a,N7,electronics_sh_015,single_specific,test,0.5,0.9357648017388648,1.0,0.8119216005796216,409.6762220859528
N7_E10b_T12a,N7,electronics_sh_016,single_specific,test,1.0,0.3975653089123066,1.0,0.7991884363041022,409.6762220859528
N7_E10b_T12a,N7,electronics_sh_017,single_specific,test,1.0,0.8553175740912142,1.0,0.9517725246970712,409.6762220859528
N7_E10b_T12a,N7,electronics_sh_018,single_specific,test,1.0,0.971221177047506,1.0,0.9904070590158351,409.6762220859528
N7_E10b_T12a,N7,electronics_sh_019,single_specific,test,1.0,0.9280242577214094,1.0,0.9760080859071364,409.6762220859528
N7_E10b_T12a,N7,electronics_sh_020,single_specific,train,0.0,0.9281217762436832,0.75,0.559373925414561,409.6762220859528
N7_E10b_T12a,N7,electronics_sh_021,single_specific,train,1.0,0.5956934582573493,1.0,0.8652311527524498,409.6762220859528
N7_E10b_T12a,N7,electronics_sh_022,single_specific,test,1.0,0.8897436017860577,1.0,0.9632478672620192,409.6762220859528
N7_E10b_T12a,N7,electronics_sh_023,single_specific,test,1.0,0.8771139314887347,1.0,0.9590379771629116,409.6762220859528
N7_E10b_T12a,N7,electronics_sh_024,single_specific,test,1.0,0.770545979316175,1.0,0.923515326438725,409.6762220859528
N7_E10b_T12a,N7,electronics_sh_025,single_specific,train,0.5,0.9715177096748756,1.0,0.8238392365582919,409.6762220859528
N7_E10b_T12a,N7,electronics_sh_026,single_specific,train,0.5,0.9284294468320388,1.0,0.8094764822773463,409.6762220859528
N7_E10b_T12a,N7,electronics_sh_027,single_specific,test,1.0,0.8390949431212668,1.0,0.9463649810404222,409.6762220859528
N7_E10b_T12a,N7,electronics_sh_028,single_specific,train,1.0,0.9999739833323696,1.0,0.9999913277774564,409.6762220859528
N7_E10b_T12a,N7,electronics_sh_029,single_specific,test,1.0,0.7836811910525057,0.25,0.6778937303508353,409.6762220859528
N7_E10b_T12a,N7,electronics_sh_030,single_specific,test,0.6666666666666666,0.0,1.0,0.5555555555555555,409.6762220859528
N7_E10b_T12a,N7,electronics_sh_031,single_specific,test,1.0,0.9872456547589088,0.25,0.7457485515863028,409.6762220859528
N7_E10b_T12a,N7,electronics_sh_032,single_specific,test,1.0,0.7110735101454627,1.0,0.9036911700484876,409.6762220859528
N7_E10b_T12a,N7,electronics_sh_033,single_specific,train,0.6666666666666666,0.9189385492188438,1.0,0.8618684052951702,409.6762220859528
N7_E10b_T12a,N7,electronics_sh_034,single_specific,train,1.0,0.9357868591944392,1.0,0.9785956197314798,409.6762220859528
N7_E10b_T12a,N7,electronics_agg_000,aggregate_cross_paper,train,0.8571428571428571,0.470709745861723,1.0,0.7759508676681933,409.6762220859528
N7_E10b_T12a,N7,electronics_agg_001,aggregate_cross_paper,test,0.2,0.6830950372250233,1.0,0.6276983457416744,409.6762220859528
N7_E10b_T12a,N7,electronics_agg_002,aggregate_cross_paper,test,0.8888888888888888,0.4877793701848846,1.0,0.7922227530245912,409.6762220859528
N7_E10b_T12a,N7,electronics_agg_003,aggregate_cross_paper,test,0.5,0.681337500487998,1.0,0.7271125001626659,409.6762220859528
