question_id,question_subtype,split
arxiv_agg_000,aggregate_cross_paper,train
arxiv_agg_001,aggregate_cross_paper,test
arxiv_agg_002,aggregate_cross_paper,test
arxiv_agg_003,aggregate_cross_paper,test
arxiv_agg_004,aggregate_cross_paper,train
arxiv_agg_005,aggregate_cross_paper,train
arxiv_agg_006,aggregate_cross_paper,test
arxiv_agg_007,aggregate_cross_paper,train
arxiv_agg_008,aggregate_cross_paper,test
arxiv_agg_009,aggregate_cross_paper,train
arxiv_agg_010,aggregate_cross_paper,train
arxiv_agg_011,aggregate_cross_paper,train
arxiv_agg_012,aggregate_cross_paper,train
arxiv_agg_013,aggregate_cross_paper,train
arxiv_agg_014,aggregate_cross_paper,test
arxiv_agg_015,aggregate_cross_paper,train
arxiv_agg_016,aggregate_cross_paper,train
arxiv_agg_017,aggregate_cross_paper,test
arxiv_agg_018,aggregate_cross_paper,train
arxiv_agg_019,aggregate_cross_paper,train
arxiv_agg_020,aggregate_cross_paper,test
arxiv_agg_021,aggregate_cross_paper,test
arxiv_agg_022,aggregate_cross_paper,train
arxiv_agg_023,aggregate_cross_paper,test
arxiv_agg_024,aggregate_cross_paper,test
arxiv_agg_025,aggregate_cross_paper,train
arxiv_agg_026,aggregate_cross_paper,train
arxiv_agg_027,aggregate_cross_paper,train
arxiv_agg_028,aggregate_cross_paper,train
arxiv_agg_029,aggregate_cross_paper,test
arxiv_agg_030,aggregate_cross_paper,train
arxiv_agg_031,aggregate_cross_paper,train
arxiv_agg_032,aggregate_cross_paper,test
arxiv_agg_033,aggregate_cross_paper,train
arxiv_agg_034,aggregate_cross_paper,train
arxiv_agg_035,aggregate_cross_paper,train
arxiv_agg_036,aggregate_cross_paper,test
arxiv_agg_037,aggregate_cross_paper,test
arxiv_agg_038,aggregate_cross_paper,test
arxiv_agg_039,aggregate_cross_paper,train
arxiv_agg_040,aggregate_cross_paper,train
arxiv_agg_041,aggregate_cross_paper,test
arxiv_agg_042,aggregate_cross_paper,train
arxiv_agg_043,aggregate_cross_paper,test
arxiv_agg_044,aggregate_cross_paper,train
arxiv_agg_045,aggregate_cross_paper,train
arxiv_agg_046,aggregate_cross_paper,test
arxiv_agg_047,aggregate_cross_paper,train
arxiv_agg_048,aggregate_cross_paper,test
arxiv_agg_049,aggregate_cross_paper,train
arxiv_agg_050,aggregate_cross_paper,test
arxiv_agg_051,aggregate_cross_paper,test
arxiv_agg_052,aggregate_cross_paper,test
arxiv_agg_053,aggregate_cross_paper,train
arxiv_agg_054,aggregate_cross_paper,test
arxiv_agg_055,aggregate_cross_paper,train
arxiv_agg_056,aggregate_cross_paper,test
arxiv_agg_057,aggregate_cross_paper,test
arxiv_agg_058,aggregate_cross_paper,test
arxiv_agg_059,aggregate_cross_paper,test
arxiv_agg_060,aggregate_cross_paper,test
arxiv_agg_061,aggregate_cross_paper,test
arxiv_agg_062,aggregate_cross_paper,train
arxiv_agg_063,aggregate_cross_paper,test
arxiv_agg_064,aggregate_cross_paper,test
arxiv_agg_065,aggregate_cross_paper,train
arxiv_agg_066,aggregate_cross_paper,train
arxiv_agg_067,aggregate_cross_paper,test
arxiv_agg_068,aggregate_cross_paper,test
arxiv_agg_069,aggregate_cross_paper,train
