variant,node_type,question_id,question_subtype,scale,faithfulness,answer_relevance,context_relevance,composite
N7_E10b_T12a,N7,arxiv_sh_000,single_specific,C,0.0,0.0,1.0,0.3333333333333333
N7_E10b_T12a,N7,arxiv_sh_001,single_specific,C,1.0,0.9243040881903882,1.0,0.9747680293967961
N7_E10b_T12a,N7,arxiv_sh_002,single_specific,C,1.0,0.8587441312755876,0.5,0.7862480437585292
N7_E10b_T12a,N7,arxiv_sh_003,single_specific,C,1.0,0.6943938184102393,1.0,0.8981312728034131
N7_E10b_T12a,N7,arxiv_sh_004,single_specific,C,1.0,0.0,1.0,0.6666666666666666
N7_E10b_T12a,N7,arxiv_sh_005,single_specific,C,1.0,0.8120082120764135,1.0,0.9373360706921378
N7_E10b_T12a,N7,arxiv_sh_006,single_specific,C,0.5,0.0,1.0,0.5
N7_E10b_T12a,N7,arxiv_sh_007,single_specific,C,0.75,0.9906204595268212,0.0,0.5802068198422737
N7_E10b_T12a,N7,arxiv_sh_008,single_specific,C,0.0,0.0,1.0,0.3333333333333333
N7_E10b_T12a,N7,arxiv_sh_009,single_specific,C,1.0,0.9447813719453736,1.0,0.9815937906484579
N7_E10b_T12a,N7,arxiv_sh_010,single_specific,C,1.0,0.0,0.0,0.3333333333333333
N7_E10b_T12a,N7,arxiv_sh_011,single_specific,C,1.0,0.917633852382216,1.0,0.9725446174607386
N7_E10b_T12a,N7,arxiv_sh_012,single_specific,C,1.0,0.6919286135084454,1.0,0.8973095378361484
N7_E10b_T12a,N7,arxiv_sh_013,single_specific,C,1.0,1.0,1.0,1.0
N7_E10b_T12a,N7,arxiv_sh_014,single_specific,C,1.0,0.8251459126023946,1.0,0.9417153042007982
N7_E10b_T12a,N7,arxiv_sh_015,single_specific,C,1.0,0.957584221920872,0.75,0.902528073973624
N7_E10b_T12a,N7,arxiv_sh_016,single_specific,C,1.0,0.9332246982422401,1.0,0.9777415660807467
