id,dataset,question,reference_answer,question_type,question_subtype,source_row_id,source_category_labels,source_text_preview,hop_type,multi_hop_stub,hop_source_ids
history_sh_000,history,How does Tom Stanton's work contextualize the rise of the Black Legion in Detroit during the 1930s?,"Stanton gradually unfolds the history of the Black Legion while keeping it within the social, cultural, and economic context of the area where it was born and grew.",descriptive,single_specific,29713.0,,"Terror in the City of Champions: Murder, Baseball, and the Secret Society that Shocked Depression-er",single,,
history_sh_001,history,What is Colin S. Gray's professional background and contributions to the field of strategic studies?,"Colin S. Gray is Professor Emeritus of Strategic Studies at the University of Reading, has served as a Defence Advisor to both UK and US governments, and is the author of 28 books on military history and strategic studies, along with numerous academic articles.",descriptive,single_specific,13954.0,,"The Future of Strategy ""In an era of strategic atrophy when were wrestling with a world awash in cha",single,,
history_sh_002,history,What does the author suggest about the consensus on Albert DeSalvo's guilt in the Boston Strangler case?,"The author suggests that few people today believe Albert DeSalvo actually committed any of the murders, and he makes a compelling case that there was more than one murderer.",descriptive,single_specific,30639.0,,"A Rose for Mary: The Hunt for the Real Boston Strangler In January 1964, 19-year-old Mary Sullivan b",single,,
history_sh_003,history,What is Stuart Hadaway's current role in relation to the official historians of the RAF?,Stuart Hadaway is currently the senior researcher to the official historians of the RAF.,descriptive,single_specific,14145.0,,"Pyramids and Fleshpots: The Egyptian, Senussi and Eastern Mediterranean Campaigns, 1914 - 16 Stuart ",single,,
history_sh_004,history,How many times has Gregg Zoroya traveled into war zones in the Middle East and South Asia?,Gregg Zoroya has traveled nearly twenty times into war zones in the Middle East and South Asia.,descriptive,single_specific,4958.0,,The Chosen Few: A Company of Paratroopers and Its Heroic Struggle to Survive in the Mountains of Afg,single,,
history_sh_005,history,How do Peterson and Williams approach the debate between Calvinism and Arminianism in their book?,"Peterson and Williams engage the debate with an irenic spirit and a zeal for truth, treating their opponents and the Scriptures fairly, while embracing the mystery of God's sovereignty.",relational,single_specific,21422.0,,"Why I Am Not an Arminian ""Peterson and Williams have addressed the historic debate between Calvinism",single,,
history_sh_006,history,What role does Paul Stillwell hold at the U.S. Naval Institute?,Paul Stillwell is the director of the history division of the U.S. Naval Institute.,descriptive,single_specific,30849.0,,Battleship Missouri: An Illustrated History Author Paul Stillwell is a featured contributor to the d,single,,
history_sh_007,history,What is one significant limitation of the audio program 'Taking Charge' as noted in the text?,"The significant limitation is that many conversations are faded or cut short, and at times the excerpts of Johnson are briefer than the narrative connecting them.",descriptive,single_specific,9391.0,,Taking Charge: The Johnson White House Tapes 1963 1964 These secretly recorded conversations between,single,,
history_sh_008,history,What does Robert Boston argue about the government's role in promoting religious beliefs?,"Robert Boston argues that while individuals have the right to promote and convince others of their beliefs, they do not have the right to have the government promote those beliefs for them.",descriptive,single_specific,35052.0,,Taking Liberties: Why Religious Freedom Doesn't Give You the Right to Tell Other People What to Do A,single,,
history_sh_009,history,How does Susan Griffin characterize the role of courtesans in society compared to traditional views of women during their time?,"Griffin characterizes courtesans as figures of remarkable intellectual and financial freedom who used their sexuality for gain, contrasting with the prescribed roles for women, as they became celebrities and influential personalities rather than mere prostitutes or kept women.",descriptive,single_specific,14858.0,,The Book of the Courtesans: A Catalogue of Their Virtues Poet and writer Susan Griffin is famously p,single,,
history_sh_010,history,What is Caroline Wickham-Jones known for in addition to being a fellow of the Society of Antiquaries?,"She is known for conducting research throughout Scotland, Ireland, and Scandinavia, and for being the author of numerous articles and publications.",descriptive,single_specific,36029.0,,"Orkney: A Historical Guide Caroline Wickham-Jones is a fellow of the Society of Antiquaries, and has",single,,
history_sh_011,history,What significant political development does the book discuss following Morocco's independence in 1956?,"The book discusses the monarchy's gradual monopolization of power post-independence, which led to political paralysis.",descriptive,single_specific,8316.0,,"A History of Modern Morocco ""Told with wit, intimate knowledge and commendable brevity and pace."" Th",single,,
history_sh_012,history,How does Colin R. Johnson's approach to studying rural queer history differ from traditional studies of lesbian and gay history?,"Johnson argues for a queer historicist approach that emphasizes the importance of rural experiences and challenges the idea that queer identity is solely urban, highlighting the presence of gender and sexual diversity in nonmetropolitan areas.",descriptive,single_specific,27418.0,,"Just Queer Folks: Gender and Sexuality in Rural America (Sexuality Studies) ""Colin Johnson's pioneer",single,,
history_sh_013,history,What is the trim size of the publication mentioned in the text?,The trim size of the publication is 5 1/4 x 8 inches.,descriptive,single_specific,22949.0,,On the Teaching and Writing of History: Responses to a Series of Questions 5 1/4 x 8 trim. Frontis. ,single,,
history_sh_014,history,What consequences did Anne and Carl Braden face for buying a house on behalf of a black couple in an all-white neighborhood?,"They faced mob violence against the Wades, the bombing of the house, and imprisonment for Carl Braden on charges of sedition.",descriptive,single_specific,31769.0,,The Wall Between &quot;The Wall Between is a chilling depiction of a pattern repeated over and over ,single,,
history_sh_015,history,What does the author Frank uncover about the history of Miami in his study?,"Frank uncovers the deep history of Miami, highlighting its profound shaping by mound-builders, slaves, raiders, and traders.",descriptive,single_specific,19220.0,,"Before the Pioneers: Indians, Settlers, Slaves, and the Founding of Miami (Florida in Focus) A beaut",single,,
history_sh_016,history,What time periods does Conforti reflect on in his memoir regarding his upbringing in Fall River?,Conforti reflects on his boyhood in Fall River during the 1950s and his young adulthood in the 1970s.,descriptive,single_specific,40063.0,,"Another City upon a Hill: A New England Memoir (Portuguese in the Americas Series) ""Conforti has wri",single,,
history_sh_017,history,What awards did 'It Was Never About a Hot Dog and a Coke' win in 2008?,"'It Was Never About a Hot Dog and a Coke' won the 2008 National Best Books Award for Multicultural Nonfiction, the Bronze Medal in the 2008 Florida Book Awards Nonfiction category, and the 2008 Sabrina Book Reviews Best Book Award.",descriptive,single_specific,33308.0,,It Was Never About a Hotdog and a Coke! A Personal Account of the 1960 sit-in Demonstrations in Jack,single,,
history_sh_018,history,What does Jacques Berlinerblau argue is essential for the observance of the First Amendment's religion clauses?,"Berlinerblau argues that secularism is essential for the observance of the First Amendment's religion clauses, emphasizing that it should be divorced from absolute separation and atheism.",descriptive,single_specific,8707.0,,How to Be Secular: A Call to Arms for Religious Freedom How to Be Secular serves as an important rem,single,,
history_sh_019,history,"What condition issues are noted for the book 'City of Women: Sex and Class in New York, 1789-1860'?","The book has edge wear, a cracked spine, a creased back cover, and writing on the back of the front cover.",descriptive,single_specific,3418.0,,"City of Women: Sex and Class in New York, 1789-1860 Dark blue cover with pink letters has edge wear.",single,,
history_sh_020,history,What reasons does Davis give for the losses of the Confederate armies in the West?,Davis blames the losses on poor leadership and a lack of support from the Confederate government.,descriptive,single_specific,10781.0,,The Cause Lost: Myths and Realities of the Confederacy In a series of essays (some previously publis,single,,
history_sh_021,history,What was Hilaire Belloc's academic achievement at Balliol College in Oxford?,"Hilaire Belloc took first-class honors in history at Balliol College in Oxford, graduating in 1895.",descriptive,single_specific,23969.0,,"Europe and the Faith Hilaire Belloc was born at St. Cloud, France, in 1870. He and his family moved ",single,,
history_sh_022,history,What does Professor Turcan discuss in the concluding part of the book regarding early Christianity?,"In the concluding part of the book, Professor Turcan describes the contest between popular religions and early Christianity, ultimately highlighting the triumph of Christianity throughout the Roman world.",descriptive,single_specific,9139.0,,"The Cults of the Roman Empire ""... a treasure trove of information on the nature and diversity of my",single,,
