id,dataset,question,reference_answer,question_type,question_subtype,source_row_id,source_category_labels,source_text_preview,hop_type,multi_hop_stub,hop_source_ids
amazon_sh_000,amazon,How did the BPS New Zealand neoprene water socks perform in terms of comfort and temperature regulation?,"The water socks were comfortable and lightweight, keeping the wearer's feet warm without being too hot.",descriptive,single_specific,B07R5R59DW,,BPS New Zealand 'Smart' Neoprene Water Socks - 3mm Beach Booties Glued & Stitched - Anti-Slip Wetsui,single,,
amazon_sh_001,amazon,What benefit does the AQUAFIT Half Gallon Water Bottle provide regarding water intake and the frequency of urination?,"The AQUAFIT Half Gallon Water Bottle helps users manage their water intake without feeling overwhelmed, and it reduces the need for frequent urination after consuming a full day's worth of water.",descriptive,single_specific,B094X6N4PG,,AQUAFIT Half Gallon Water Bottle With Times To Drink - 64 oz Water Bottle With Straw - Water Jug - M,single,,
amazon_sh_002,amazon,What is a limitation of the Life On Bicycle rearview bicycle helmet mirror?,The mirror is too small for anyone driving behind you to see clearly.,descriptive,single_specific,B010D6ERMM,,Life On Bicycle 360 Degree Adjustable Rearview Bicycle Helmet Mirror (1) This mirror is too small to,single,,
amazon_sh_003,amazon,How many fire starters did the reviewer find necessary to start a small fire in their chiminea?,The reviewer found that they would need many more than one fire starter to start a small fire.,descriptive,single_specific,B07FPQVLFH,,"GreenSpark Square 160 Pcs Natural Fire Starters for Grill, Smoker, Pizza Oven,BBQ,Fireplace Firestar",single,,
amazon_sh_004,amazon,What features make the GYMAX Foldable Shooting Table suitable for outdoor use?,"The GYMAX Foldable Shooting Table is easy to assemble, very sturdy, and has a large tabletop that provides ample space for various needs.",descriptive,single_specific,B08N6QG2H4,,"GYMAX Foldable Shooting Table Seat Set, Height Adjustable Hunting Gun Rest Table Shooting Bench Set ",single,,
amazon_sh_005,amazon,What does the reviewer compare the DARCHEN Microfiber Beach Towel to in terms of functionality?,The reviewer compares the DARCHEN Microfiber Beach Towel to beach mats and suggests that a bed sheet would serve the same purpose.,descriptive,single_specific,B07MTWX5M8,,DARCHEN Microfiber Beach Towel - Quick Dry Sand Free Swim Towel Oversiezed Large Beach Towel(2 Sizes,single,,
amazon_sh_006,amazon,What issues did the user experience with the gymnastics mat and air pump?,The user found that the mat became extremely dirty and the air pump burnt out in less than a minute.,descriptive,single_specific,B09D7S4BTJ,,"Gymnastics Mats Tumbling Track Mat, Air Mat Tumble Track Inflatable Training Mat 4 inch Thickness Wi",single,,
amazon_sh_007,amazon,What issue did the reviewer encounter with the Miles Wide Sticky Fingers 2.0 Pink Pair?,The reviewer found that they could not even install the sticky fingers on their bike.,descriptive,single_specific,B06Y2MJ3S5,,Miles Wide Sticky Fingers 2.0 Pink Pair They are more pale pink than in the picture. I can’t even in,single,,
amazon_sh_008,amazon,What issue does the reviewer highlight regarding the sand on the BYDOLL Beach Blanket?,"The reviewer notes that sand sticks to the blanket almost like glue and does not easily sweep off or pat off, requiring rinsing to remove it.",descriptive,single_specific,B092QMDRRG,,BYDOLL Beach Blanket 10'×9' 2-8 Adults Oversized Lightweight Waterproof Sandproof Beach Blanket Larg,single,,
amazon_sh_009,amazon,What issue did the user encounter when trying to attach the helmet light to their helmet?,"The user found that the light did not fit the rail on their helmet, although they were unsure why.",descriptive,single_specific,B09YYVTMMH,,Tactical Helmet LED Military Helmet Light 350 Lumen 3 Modes Airsoft Helmet Accessories ARC Rail Ligh,single,,
amazon_sh_010,amazon,What is the size of the NCAA Notre Dame Fighting Irish Cheer ND Flag Deluxe?,The flag measures 3 feet by 5 feet.,descriptive,single_specific,B01BDIN8A6,,"NCAA Notre Dame Fighting Irish Cheer ND Flag Deluxe, 3 x 5-Foot It’s just a cheap flag, why all the ",single,,
amazon_sh_011,amazon,How does the Elastic Fitness Bar help with shoulder pain according to the user's experience?,"The Elastic Fitness Bar helps strengthen shoulder muscles, and after using it, the user felt sore but also relieved from constant shoulder pain.",descriptive,single_specific,B0B729TZJX,,"Upgrade Elastic Fitness Bar, Shoulder Tube, High-Frequency Vibration Shake Body Bar, Body Physical T",single,,
amazon_sh_012,amazon,What types of snakes do the ICLOVER Snake Guards protect against?,The ICLOVER Snake Guards protect against snake bites of all types of rattlesnakes.,categorical,single_specific,B07TYVVCFZ,,"IC ICLOVER Snake Guards, New Upgraded Lightweight Stab-Resistant Snake Gaiters Proof Leggings, Prote",single,,
amazon_sh_013,amazon,Why did the author choose the shorter version of the ground nails for their camping needs?,The author chose the shorter version because they are ideal for their camping needs.,descriptive,single_specific,B0BQ7277Q1,,Outdoor ground nail bag camping kit multifunctional ground nail storage bag camping oxford cloth lar,single,,
amazon_sh_014,amazon,How does the quality of the Rally and Roar Air Hockey Table compare to professional units?,"The Rally and Roar Air Hockey Table is not exactly arcade quality and does not match the quality of professional units, but it is considered good for the price.",descriptive,single_specific,B07YZXGW85,,"Rally and Roar Air Hockey Table - 60"" Long w/ Air Powered Motor, 2 Pucks, 2 Pushers, Auto Scoreboard",single,,
amazon_sh_015,amazon,What feature of the Contigo AUTOSPOUT Straw Ashland Water Bottle makes it easy to carry?,The handle makes it easy to carry.,descriptive,single_specific,B073WB2HQM,,"Contigo AUTOSPOUT Straw Ashland Water Bottle, 40 oz., Grapevine Excellent for the water/punch drinks",single,,
amazon_sh_016,amazon,What is the capacity of the Great American Products NFL Protein Shaker mentioned in the text?,The capacity of the Great American Products NFL Protein Shaker is 20 ounces.,descriptive,single_specific,B00FBS11XQ,,"Great American Products NFL Protein Shaker, 20-Ounce My husband was very excited to receive this as ",single,,
amazon_sh_017,amazon,What age groups is the Shock Doctor Double Braces Mouth Guard designed for?,"The mouth guard is designed for youth, teenagers, kids, and adults.",descriptive,single_specific,B0028R2XDK,,Shock Doctor Double Braces Mouth Guard. Upper and Lower Teeth Protection. Mouthguard No Boil / Insta,single,,
amazon_sh_018,amazon,What features does the Mossy Oak Women's Full Zip Hoodie have that enhance its functionality?,"The hoodie has an unlined hood with a drawstring, smooth-operating zippers, and a pouch pocket that serves as both a handwarmer and a holder for treats or identification.",descriptive,single_specific,B01HEGKYLC,,Mossy Oak Women's Full Zip Hoodie When the weather gets colder a good hoodie is a wardrobe essential,single,,
amazon_sh_019,amazon,What features of the backpack make it suitable for the user's daughter during her youth group trips?,"The backpack is sturdy and durable, holds all of her belongings securely, and has comfortable straps, making it suitable for her needs.",descriptive,single_specific,B00LF4ATUQ,,SUPON Girl's Lovely Sweet Lace Bowknot Leisure Canvas Spot Backpack Schoolbag for Student (Green) Th,single,,
amazon_sh_020,amazon,What issue did the user experience with the Tuomico 20PSI pump during its first day of use?,"The user experienced a failure of the first stage blower motor, which started screeching and changing speed before dying, although the second stage eventually completed the inflation.",descriptive,single_specific,B07KWZCJ59,,"Tuomico Max 20 PSI SUP Electric Air Pump with Dual Stage Inflation & Deflation, LCD Digital Electric",single,,
amazon_sh_021,amazon,"How long does it take for the Kona XL Large Cooler Ice Packs to freeze, and how effective are they in keeping food cold during a drive in warm weather?",The Kona XL Large Cooler Ice Packs take 25 minutes to freeze and are effective in keeping food cold for a 30-minute drive in temperatures over 80 degrees.,descriptive,single_specific,B07Q87HFGP,,Kona XL Large Cooler Ice Packs - Reusable Long Lasting Ice Pack (-5 C) Space-Saving Slim Ice Packs |,single,,
amazon_sh_022,amazon,Who is the target audience for the tabletop mini bowling game set?,"The target audience includes men, women, kids, teens, and boys.",relational,single_specific,B082PSJYYP,,Table Top Mini Bowling Game Set-Tabletop Wooden Board Mini Arcade Desktop Tiny Bowling Shooting Alle,single,,
amazon_sh_023,amazon,How did the performance of the hockey skate laces differ between casual skating and playing hockey?,"The laces held up perfectly for casual skating, but they started to wear and thin after just a couple of games when used for playing hockey.",relational,single_specific,B004S3Y5CY,,"Elite Hockey Prolace Waxed Hockey Skate Laces I bought a couple of pairs, one for my boyfriend and t",single,,
amazon_sh_024,amazon,What activity does the user mention they use the KingL Interval Timer Stopwatch for?,The user mentions using it during their stretching routine.,descriptive,single_specific,B07MC4NFSN,,"KingL Interval Timer Stopwatch for Workout, Cooking, Sports, Travel, Camping - Mini Digital Alarm Cl",single,,
amazon_sh_025,amazon,What benefit does the Obegone Fitness program provide for obese beginners?,The program offers a decent workout that allows obese beginners to exercise without feeling overwhelmed or exhausted afterwards.,descriptive,single_specific,B00BTI252S,,"Obegone Fitness: Overweight Edition- Beth Patterson PT, CYT Excellent workout for obese beginners. I",single,,
amazon_sh_026,amazon,What is the draw weight and speed of the Snake Eye Tactical Cobra-System crossbow mentioned in the text?,The Snake Eye Tactical Cobra-System crossbow has a draw weight of 80 pounds and a speed of 225 feet per second.,descriptive,single_specific,B01N51UXMM,,Snake Eye Tactical Cobra-System Self-Cocking-Pistol Crossbow 80 lbs 225 FPS I bought this as a gift ,single,,
amazon_sh_027,amazon,What feature of the Onyx MoveVent Dynamic Paddle Sports CGA Life Vest makes it comfortable for paddling?,"The vest has a mesh part in the back that makes it feel less bulky and allows for better movement while paddling, unlike other vests that push you forward.",descriptive,single_specific,B00FI3FAZ4,,Onyx MoveVent Dynamic Paddle Sports CGA Life Vest I tried lots of different life vests but this one ,single,,
amazon_sh_028,amazon,How does the CaddyDaddy Golf Bag Cooler perform in terms of keeping drinks cold during a round of golf?,"The cooler keeps refrigerated cans cold to cool throughout the entire round, even while walking, and the user plans to improve its performance by using a better ice pack.",descriptive,single_specific,B0002E3KDI,,CaddyDaddy Golf Bag Cooler Perfect fit in my Sun Mountain C-130. I have no issues getting a drink ou,single,,
amazon_sh_029,amazon,"What is the price mentioned for the Franklin Sports Official 12"" Fastpitch Softball?",The price mentioned for the softball is fourteen bucks for a single ball.,descriptive,single_specific,B00C7HYVFO,,"Franklin Sports Official 12"" Fastpitch Softball This softball is Made in China. It shows to be “offi",single,,
