id,dataset,question,reference_answer,question_type,question_subtype,source_row_id,source_category_labels,source_text_preview,hop_type,multi_hop_stub,hop_source_ids
amazon_sh_026,amazon,What is the draw weight and speed of the Snake Eye Tactical Cobra-System crossbow mentioned in the text?,The Snake Eye Tactical Cobra-System crossbow has a draw weight of 80 pounds and a speed of 225 feet per second.,descriptive,single_specific,B01N51UXMM,,Snake Eye Tactical Cobra-System Self-Cocking-Pistol Crossbow 80 lbs 225 FPS I bought this as a gift ,single,,
amazon_sh_013,amazon,Why did the author choose the shorter version of the ground nails for their camping needs?,The author chose the shorter version because they are ideal for their camping needs.,descriptive,single_specific,B0BQ7277Q1,,Outdoor ground nail bag camping kit multifunctional ground nail storage bag camping oxford cloth lar,single,,
amazon_sh_024,amazon,What activity does the user mention they use the KingL Interval Timer Stopwatch for?,The user mentions using it during their stretching routine.,descriptive,single_specific,B07MC4NFSN,,"KingL Interval Timer Stopwatch for Workout, Cooking, Sports, Travel, Camping - Mini Digital Alarm Cl",single,,
amazon_sh_021,amazon,"How long does it take for the Kona XL Large Cooler Ice Packs to freeze, and how effective are they in keeping food cold during a drive in warm weather?",The Kona XL Large Cooler Ice Packs take 25 minutes to freeze and are effective in keeping food cold for a 30-minute drive in temperatures over 80 degrees.,descriptive,single_specific,B07Q87HFGP,,Kona XL Large Cooler Ice Packs - Reusable Long Lasting Ice Pack (-5 C) Space-Saving Slim Ice Packs |,single,,
amazon_sh_015,amazon,What feature of the Contigo AUTOSPOUT Straw Ashland Water Bottle makes it easy to carry?,The handle makes it easy to carry.,descriptive,single_specific,B073WB2HQM,,"Contigo AUTOSPOUT Straw Ashland Water Bottle, 40 oz., Grapevine Excellent for the water/punch drinks",single,,
amazon_sh_029,amazon,"What is the price mentioned for the Franklin Sports Official 12"" Fastpitch Softball?",The price mentioned for the softball is fourteen bucks for a single ball.,descriptive,single_specific,B00C7HYVFO,,"Franklin Sports Official 12"" Fastpitch Softball This softball is Made in China. It shows to be “offi",single,,
amazon_sh_019,amazon,What features of the backpack make it suitable for the user's daughter during her youth group trips?,"The backpack is sturdy and durable, holds all of her belongings securely, and has comfortable straps, making it suitable for her needs.",descriptive,single_specific,B00LF4ATUQ,,SUPON Girl's Lovely Sweet Lace Bowknot Leisure Canvas Spot Backpack Schoolbag for Student (Green) Th,single,,
amazon_agg_031,amazon,"Considering the outdoor and fitness activities associated with the products listed, which product would be the most essential for ensuring safety and health while camping or hiking, and why?","The Sawyer Products SP105 MINI Water Filtration System is essential for ensuring safety and health while camping or hiking, as it provides a reliable method to filter water from natural sources, preventing waterborne illnesses. While the Fitbit Blaze helps track fitness, the OUTXE Titanium Camping Utensil is useful for eating, and the SZHZS Kids Bike Helmet provides protection for children, none of these products address the critical need for safe drinking water in outdoor settings.",descriptive,aggregate_cross_paper,,"['B00LW4OW8Y', 'B01KH28K66', 'B08CGYW2JK', 'B08HWP19XK', 'B09B6YBMBM']",,single,,
amazon_agg_015,amazon,"Which product from this group is best suited for a fitness enthusiast looking to track their tire pressure for cycling, while also having a durable knee pad for protection during workouts, and using fixed barbells for strength training?","The GODESON Presta Valve Gauge for tracking tire pressure, the Bike Dri-Power Contoured Knee Pad for protection, and the Titan Fitness Barbells for strength training.",descriptive,aggregate_cross_paper,,"['B005OZ61F4', 'B0079IYSUE', 'B00WBYTXEM', 'B094JKS8B7', 'B09ZQD8THT']",,single,,
amazon_agg_026,amazon,"Which products in this group are designed for outdoor sports or activities, and what common feature do they share that enhances their usability in those environments?","The Rawlings VELO Baseball Bat, OutdoorMaster Snowboard Bag, and YONGZHI Crab Trap are all designed for outdoor sports or activities. They share the common feature of being portable and designed for specific sports, enhancing usability by allowing easy transport and use in outdoor settings.",descriptive,aggregate_cross_paper,,"['B00DQ9KFIY', 'B07G9WPZPZ', 'B07X33T87Q', 'B08TQD27XK', 'B0BG293TDW']",,single,,
amazon_agg_017,amazon,Which product from the list is best suited for someone looking to enhance their fitness routine while also ensuring convenience and portability for outdoor activities?,"The Schwinn Recumbent Bike Series is best suited for enhancing fitness routines, while the INTERNOVA Junior Monster Battery Lantern and LOKSAK Element Proof Bag provide convenience and portability for outdoor activities.",descriptive,aggregate_cross_paper,,"['B0007ZF67A', 'B00CTLJMV6', 'B00UTK5TGG', 'B07K37W2RZ', 'B07YLM4HD5']",,single,,
amazon_agg_008,amazon,"Which products from the list would be most suitable for a day out at the beach, considering hydration, seating, and food preparation needs?","The ZORRI Sports Water Bottle for hydration, the PICNIC TIME Sports Chair for seating, and the Mother Earth Products Dehydrated Fast Cooking Navy Beans for food preparation.",descriptive,aggregate_cross_paper,,"['B0085NKTKK', 'B00FBQ6AC0', 'B014VC5H64', 'B0794Y3KM6', 'B0B54VZ1TY']",,single,,
amazon_agg_009,amazon,"Considering the camping-related products listed, which features make the Camping Hammock with Mosquito Net and Rain Fly the most suitable choice for a multi-day hiking trip compared to the other hammocks and the hydration backpack?","The Camping Hammock with Mosquito Net and Rain Fly is ideal for a multi-day hiking trip because it includes a mosquito net for protection against insects, a rain fly for weather protection, and is designed for outdoor use, making it more versatile and protective than the other hammocks. The hydration backpack complements this by providing easy access to water, which is essential for long hikes, while the other hammock lacks these protective features.",relational,aggregate_cross_paper,,"['B0033OFXH0', 'B01M04LM5H', 'B08BX2XZWW', 'B08F342Z21', 'B0C65ZW18T']",,single,,
amazon_agg_019,amazon,"Which product from the list would be the most suitable for a family camping trip that involves both water activities and outdoor sports, considering the features of the camping towel, dry bag, and collapsible bench?","The MARCHWAY Floating Waterproof Dry Bag is the most suitable for a family camping trip involving water activities, as it keeps gear dry during kayaking or swimming, while the Wise Owl Outfitters Camping Towel can be used for drying off after water activities, and the Franklin Sports Sideline Team Bench provides instant seating for outdoor sports.",descriptive,aggregate_cross_paper,,"['B01EJ8RJ48', 'B01LX036Z2', 'B07D6LWWY9', 'B07XNL4G2D', 'B0C59MP23S']",,single,,
amazon_edge_015,amazon,"How does the reviewer's experience with the usability of the OutSmart Gear spork compare to their experience with the parts of the Backyard Champs Disc Jam game, considering both products were reviewed by the same person?","The reviewer found the OutSmart Gear spork to have usability issues, specifically mentioning that the fork and spoon were not ideal and that the serrated edge was a dealbreaker due to it tearing at their gums. In contrast, while they noted that the parts of the Backyard Champs Disc Jam game were basic, they still recommended it for its fun factor and portability, suggesting that despite the simplicity, the game was enjoyable and functional. This indicates that the reviewer had a negative experience with the usability of the spork, while they had a more positive experience with the usability of the disc game.",descriptive,edge_multihop,,,,single,,"['B016BEKRK6', 'B07GSVH36B']"
amazon_edge_019,amazon,How did the reviewer's experience with the Incline Fit Resistance Bands compare to their experience with the LiMMAX Kickboxing Sparring Gloves in terms of comfort and suitability for their fitness needs?,"The reviewer found the Incline Fit Resistance Bands to be a compact and useful tool for resistance training, especially as a beginner, but did not specifically mention comfort. In contrast, they described the LiMMAX Kickboxing Sparring Gloves as much more comfortable and better suited to their needs compared to larger boxing gloves, indicating a clear preference for the fit and support of the gloves as they returned to martial arts.",descriptive,edge_multihop,,,,single,,"['B0154C3XSE', 'B09ZXSCBD9']"
amazon_edge_027,amazon,"How does the reviewer's opinion on the design and appeal of the Goliath Sports Phlat Ball V3 compare to their thoughts on the Spalding Instinct Indoor-Outdoor Basketball, considering both products were reviewed by the same person?","The reviewer appreciates the bright colors and the changeable nature of the Goliath Sports Phlat Ball V3, indicating that the kids love its design. In contrast, they also mention that the Spalding Instinct Indoor-Outdoor Basketball not only has a great feel but also looks fantastic, suggesting that they value the aesthetic appeal of both products, but in different contexts—one for children's play and the other for basketball.",descriptive,edge_multihop,,,,single,,"['B07NPHJGW8', 'B00UJCXHH2']"
amazon_edge_026,amazon,"How does the shared reviewer feel about the importance of safety and comfort in their purchases, as reflected in their reviews of the Gun Safe and the Calhoun NHL Men's Team Logo Shirt?","The shared reviewer emphasizes the importance of safety in their review of the Gun Safe, noting its solid metal design and ease of programming, which contributes to their sense of security. In contrast, their review of the Calhoun NHL Men's Team Logo Shirt highlights comfort, mentioning the soft material and true-to-size fit, which provides adequate warmth. This indicates that while the reviewer prioritizes safety in one product, they value comfort in another, showcasing a balance between security and personal comfort in their purchasing decisions.",descriptive,edge_multihop,,,,single,,"['B08QRSPMQT', 'B0B781PLMR']"
amazon_edge_008,amazon,How does the shared reviewer compare their experience with the Portzon Wide View Swim Goggles to their experience with the CIRCUIT FITNESS Magnetic Upright Exercise Bike in terms of comfort and usability for both themselves and their family members?,"The shared reviewer finds both the Portzon Wide View Swim Goggles and the CIRCUIT FITNESS Magnetic Upright Exercise Bike to be comfortable and well-made. They mention that the goggles are durable and have a great fit, which they appreciate while working out with their daughter. Similarly, they express satisfaction with the exercise bike, noting that it works well for both themselves and their husband, who is heavier. This indicates that the reviewer values comfort and usability in both products for themselves and their family.",descriptive,edge_multihop,,,,single,,"['B07GC4LCTY', 'B07SKLR1N7']"
amazon_edge_024,amazon,"How does the shared reviewer, AEMLKE6DD3BDUNSED35HAXU7SO4A, compare their experiences with the installation and usability of the ODI Unisex – Adult's Lock-On Bumper and the BEHANDY Folding Shovel in their respective activities?","The reviewer found the ODI Unisex – Adult's Lock-On Bumper easy to install and noted that they haven't moved since installation, indicating satisfaction with the product's stability and ease of use for their biking activities. In contrast, they described the BEHANDY Folding Shovel as effective for light MTB trail repair, suggesting that while it is portable and fits in a small backpack, its use is more focused on specific tasks like trail maintenance rather than installation. This comparison highlights the reviewer's appreciation for straightforward installation in the bumpers versus the shovel's utility for specific outdoor tasks.",descriptive,edge_multihop,,,,single,,"['B006GTVI32', 'B08J281TKD']"
