system_name,band,node_idx,edge_idx,text_idx,system_type,question_id,question_subtype,faithfulness,answer_relevance,context_relevance,composite_score
quintile_1_N8_E10c_T12a_text_based,quintile_1,N8,E10c,T12a,text_based,arxiv_sh_000,single_specific,0.5,0.0,1.0,0.5
quintile_1_N8_E10c_T12a_text_based,quintile_1,N8,E10c,T12a,text_based,arxiv_sh_001,single_specific,1.0,0.8850143900863733,1.0,0.9616714633621245
quintile_1_N8_E10c_T12a_text_based,quintile_1,N8,E10c,T12a,text_based,arxiv_sh_002,single_specific,1.0,0.0,0.5,0.5
quintile_1_N8_E10c_T12a_text_based,quintile_1,N8,E10c,T12a,text_based,arxiv_sh_003,single_specific,1.0,0.6943861619042097,1.0,0.8981287206347366
quintile_1_N8_E10c_T12a_text_based,quintile_1,N8,E10c,T12a,text_based,arxiv_sh_004,single_specific,1.0,0.7394333013892669,1.0,0.9131444337964223
quintile_1_N8_E10c_T12a_text_based,quintile_1,N8,E10c,T12a,text_based,arxiv_sh_005,single_specific,1.0,0.7931168606298472,1.0,0.9310389535432825
quintile_1_N8_E10c_T12a_text_based,quintile_1,N8,E10c,T12a,text_based,arxiv_sh_006,single_specific,0.5,0.8716036109643316,1.0,0.7905345369881105
quintile_1_N8_E10c_T12a_text_based,quintile_1,N8,E10c,T12a,text_based,arxiv_sh_007,single_specific,1.0,0.0,0.0,0.3333333333333333
quintile_1_N8_E10c_T12a_text_based,quintile_1,N8,E10c,T12a,text_based,arxiv_sh_008,single_specific,0.0,0.0,1.0,0.3333333333333333
quintile_1_N8_E10c_T12a_text_based,quintile_1,N8,E10c,T12a,text_based,arxiv_sh_009,single_specific,1.0,0.9447813719453736,1.0,0.9815937906484579
quintile_1_N8_E10c_T12a_text_based,quintile_1,N8,E10c,T12a,text_based,arxiv_sh_010,single_specific,0.5,0.9521517228807225,0.0,0.4840505742935742
quintile_1_N8_E10c_T12a_text_based,quintile_1,N8,E10c,T12a,text_based,arxiv_sh_011,single_specific,1.0,0.869026268097698,1.0,0.9563420893658994
quintile_1_N8_E10c_T12a_text_based,quintile_1,N8,E10c,T12a,text_based,arxiv_sh_012,single_specific,1.0,0.9999996445760472,1.0,0.999999881525349
quintile_1_N8_E10c_T12a_text_based,quintile_1,N8,E10c,T12a,text_based,arxiv_sh_013,single_specific,1.0,0.9999996155418517,1.0,0.9999998718472839
quintile_1_N8_E10c_T12a_text_based,quintile_1,N8,E10c,T12a,text_based,arxiv_sh_014,single_specific,1.0,0.8251332964945753,1.0,0.941711098831525
quintile_1_N8_E10c_T12a_text_based,quintile_1,N8,E10c,T12a,text_based,arxiv_sh_015,single_specific,1.0,0.6593909728105749,1.0,0.886463657603525
quintile_1_N8_E10c_T12a_text_based,quintile_1,N8,E10c,T12a,text_based,arxiv_sh_016,single_specific,1.0,0.0,1.0,0.6666666666666666
quintile_1_N8_E10c_T12a_text_based,quintile_1,N8,E10c,T12a,text_based,arxiv_sh_017,single_specific,1.0,0.8278025551986213,1.0,0.9426008517328738
quintile_1_N8_E10c_T12a_text_based,quintile_1,N8,E10c,T12a,text_based,arxiv_sh_018,single_specific,1.0,0.6762780457500822,1.0,0.8920926819166941
quintile_1_N8_E10c_T12a_text_based,quintile_1,N8,E10c,T12a,text_based,arxiv_sh_019,single_specific,0.5,0.9999996687254663,1.0,0.8333332229084888
quintile_1_N8_E10c_T12a_text_based,quintile_1,N8,E10c,T12a,text_based,arxiv_sh_020,single_specific,1.0,0.9805711854873538,1.0,0.9935237284957846
quintile_1_N8_E10c_T12a_text_based,quintile_1,N8,E10c,T12a,text_based,arxiv_sh_021,single_specific,1.0,0.42233239003335626,0.0,0.4741107966777854
quintile_1_N8_E10c_T12a_text_based,quintile_1,N8,E10c,T12a,text_based,arxiv_sh_022,single_specific,1.0,0.0,0.0,0.3333333333333333
quintile_1_N8_E10c_T12a_text_based,quintile_1,N8,E10c,T12a,text_based,arxiv_sh_023,single_specific,1.0,0.8318427190973191,1.0,0.9439475730324397
quintile_1_N8_E10c_T12a_text_based,quintile_1,N8,E10c,T12a,text_based,arxiv_sh_024,single_specific,1.0,0.9627833400778432,1.0,0.9875944466926144
quintile_1_N8_E10c_T12a_text_based,quintile_1,N8,E10c,T12a,text_based,arxiv_sh_025,single_specific,0.8,0.8549045517803092,0.5,0.718301517260103
quintile_1_N8_E10c_T12a_text_based,quintile_1,N8,E10c,T12a,text_based,arxiv_sh_026,single_specific,1.0,0.9102588958736711,1.0,0.970086298624557
quintile_1_N8_E10c_T12a_text_based,quintile_1,N8,E10c,T12a,text_based,arxiv_sh_027,single_specific,1.0,0.0,0.0,0.3333333333333333
quintile_1_N8_E10c_T12a_text_based,quintile_1,N8,E10c,T12a,text_based,arxiv_sh_028,single_specific,0.3333333333333333,0.0,1.0,0.4444444444444444
quintile_1_N8_E10c_T12a_text_based,quintile_1,N8,E10c,T12a,text_based,arxiv_sh_029,single_specific,1.0,0.9685066124266681,1.0,0.9895022041422227
quintile_1_N8_E10c_T12a_text_based,quintile_1,N8,E10c,T12a,text_based,arxiv_sh_030,single_specific,1.0,0.9507845343062434,1.0,0.9835948447687478
quintile_1_N8_E10c_T12a_text_based,quintile_1,N8,E10c,T12a,text_based,arxiv_sh_031,single_specific,0.6666666666666666,0.9341520113736085,0.0,0.533606226013425
quintile_1_N8_E10c_T12a_text_based,quintile_1,N8,E10c,T12a,text_based,arxiv_sh_032,single_specific,1.0,0.9568246627740087,1.0,0.9856082209246696
quintile_1_N8_E10c_T12a_text_based,quintile_1,N8,E10c,T12a,text_based,arxiv_sh_033,single_specific,1.0,0.8562972486460659,0.0,0.6187657495486887
quintile_1_N8_E10c_T12a_text_based,quintile_1,N8,E10c,T12a,text_based,arxiv_sh_034,single_specific,1.0,0.9803398705965775,1.0,0.9934466235321925
quintile_1_N8_E10c_T12a_text_based,quintile_1,N8,E10c,T12a,text_based,arxiv_agg_000,aggregate_cross_paper,1.0,0.7123929189312862,1.0,0.9041309729770953
quintile_1_N8_E10c_T12a_text_based,quintile_1,N8,E10c,T12a,text_based,arxiv_agg_001,aggregate_cross_paper,0.2,0.0,0.0,0.06666666666666667
quintile_1_N8_E10c_T12a_text_based,quintile_1,N8,E10c,T12a,text_based,arxiv_agg_002,aggregate_cross_paper,0.75,0.0,0.0,0.25
quintile_1_N8_E10c_T12a_text_based,quintile_1,N8,E10c,T12a,text_based,arxiv_agg_003,aggregate_cross_paper,0.7142857142857143,0.7843380865338304,0.0,0.49954126693984824
quintile_1_N8_E10c_T12a_text_based,quintile_1,N8,E10c,T12a,text_based,arxiv_agg_004,aggregate_cross_paper,1.0,0.5665923037698457,1.0,0.8555307679232819
quintile_1_N8_E10c_T12a_text_based,quintile_1,N8,E10c,T12a,text_based,arxiv_agg_005,aggregate_cross_paper,1.0,0.7981266370105358,1.0,0.932708879003512
quintile_1_N8_E10c_T12a_text_based,quintile_1,N8,E10c,T12a,text_based,arxiv_agg_006,aggregate_cross_paper,0.6,0.7045118843230279,0.5,0.6015039614410093
quintile_1_N8_E10c_T12a_text_based,quintile_1,N8,E10c,T12a,text_based,arxiv_agg_007,aggregate_cross_paper,0.8888888888888888,0.7369945385599231,1.0,0.8752944758162706
quintile_1_N8_E10c_T12a_text_based,quintile_1,N8,E10c,T12a,text_based,arxiv_agg_008,aggregate_cross_paper,1.0,0.7705454877096254,1.0,0.9235151625698751
quintile_1_N8_E10c_T12a_text_based,quintile_1,N8,E10c,T12a,text_based,arxiv_agg_009,aggregate_cross_paper,0.7142857142857143,0.7926110748714456,0.5,0.66896559638572
quintile_1_N8_E10c_T12a_text_based,quintile_1,N8,E10c,T12a,text_based,arxiv_agg_010,aggregate_cross_paper,0.875,0.5622490559196601,1.0,0.81241635197322
quintile_1_N8_E10c_T12a_text_based,quintile_1,N8,E10c,T12a,text_based,arxiv_agg_011,aggregate_cross_paper,0.6666666666666666,0.0,0.0,0.2222222222222222
quintile_1_N8_E10c_T12a_text_based,quintile_1,N8,E10c,T12a,text_based,arxiv_agg_012,aggregate_cross_paper,0.7,0.8244831549756824,0.0,0.5081610516585607
quintile_1_N8_E10c_T12a_text_based,quintile_1,N8,E10c,T12a,text_based,arxiv_agg_013,aggregate_cross_paper,1.0,0.6511790020466811,1.0,0.8837263340155603
quintile_1_N8_E10c_T12a_text_based,quintile_1,N8,E10c,T12a,text_based,arxiv_agg_014,aggregate_cross_paper,0.6,0.8729605291307353,0.0,0.4909868430435784
quintile_1_N8_E10c_T12a_text_based,quintile_1,N8,E10c,T12a,text_based,arxiv_agg_015,aggregate_cross_paper,0.6,0.0,0.0,0.19999999999999998
quintile_1_N8_E10c_T12a_text_based,quintile_1,N8,E10c,T12a,text_based,arxiv_agg_016,aggregate_cross_paper,1.0,0.7732053319658595,0.5,0.7577351106552865
quintile_1_N8_E10c_T12a_text_based,quintile_1,N8,E10c,T12a,text_based,arxiv_agg_017,aggregate_cross_paper,1.0,0.637641589052162,0.0,0.545880529684054
quintile_1_N8_E10c_T12a_text_based,quintile_1,N8,E10c,T12a,text_based,arxiv_agg_018,aggregate_cross_paper,0.4,0.0,0.0,0.13333333333333333
quintile_1_N8_E10c_T12a_text_based,quintile_1,N8,E10c,T12a,text_based,arxiv_agg_019,aggregate_cross_paper,0.6,0.6825952603343942,1.0,0.7608650867781314
quintile_1_N8_E10c_T12a_text_based,quintile_1,N8,E10c,T12a,text_based,arxiv_agg_020,aggregate_cross_paper,1.0,0.7432632366715181,1.0,0.9144210788905061
quintile_1_N8_E10c_T12a_text_based,quintile_1,N8,E10c,T12a,text_based,arxiv_agg_021,aggregate_cross_paper,0.6,0.0,0.5,0.3666666666666667
quintile_1_N8_E10c_T12a_text_based,quintile_1,N8,E10c,T12a,text_based,arxiv_agg_022,aggregate_cross_paper,0.7142857142857143,0.7965705223937499,0.5,0.670285412226488
quintile_1_N8_E10c_T12a_text_based,quintile_1,N8,E10c,T12a,text_based,arxiv_agg_023,aggregate_cross_paper,0.875,0.6877948564543374,0.0,0.5209316188181125
quintile_1_N8_E10c_T12a_text_based,quintile_1,N8,E10c,T12a,text_based,arxiv_agg_024,aggregate_cross_paper,0.2857142857142857,0.9002087010983603,1.0,0.7286409956042154
quintile_1_N8_E10c_T12a_text_based,quintile_1,N8,E10c,T12a,text_based,arxiv_agg_025,aggregate_cross_paper,1.0,0.0,0.0,0.3333333333333333
quintile_1_N8_E10c_T12a_text_based,quintile_1,N8,E10c,T12a,text_based,arxiv_agg_026,aggregate_cross_paper,1.0,0.0,0.0,0.3333333333333333
quintile_1_N8_E10c_T12a_text_based,quintile_1,N8,E10c,T12a,text_based,arxiv_agg_027,aggregate_cross_paper,1.0,0.0,0.0,0.3333333333333333
quintile_1_N8_E10c_T12a_text_based,quintile_1,N8,E10c,T12a,text_based,arxiv_agg_028,aggregate_cross_paper,1.0,0.0,0.0,0.3333333333333333
quintile_1_N8_E10c_T12a_text_based,quintile_1,N8,E10c,T12a,text_based,arxiv_agg_029,aggregate_cross_paper,0.8,0.5974093122526295,1.0,0.7991364374175433
quintile_1_N8_E10c_T12a_text_based,quintile_1,N8,E10c,T12a,text_based,arxiv_agg_030,aggregate_cross_paper,0.5,0.0,0.0,0.16666666666666666
quintile_1_N8_E10c_T12a_text_based,quintile_1,N8,E10c,T12a,text_based,arxiv_agg_031,aggregate_cross_paper,0.8,0.7516539175012279,0.5,0.683884639167076
quintile_1_N8_E10c_T12a_text_based,quintile_1,N8,E10c,T12a,text_based,arxiv_agg_032,aggregate_cross_paper,0.9,0.7103503305713255,1.0,0.8701167768571084
quintile_1_N8_E10c_T12a_text_based,quintile_1,N8,E10c,T12a,text_based,arxiv_edge_000,edge_multihop,0.75,0.5820508271161446,0.5,0.6106836090387149
quintile_1_N8_E10c_T12a_text_based,quintile_1,N8,E10c,T12a,text_based,arxiv_edge_001,edge_multihop,1.0,0.8247959819793554,1.0,0.9415986606597851
quintile_1_N8_E10c_T12a_text_based,quintile_1,N8,E10c,T12a,text_based,arxiv_edge_002,edge_multihop,1.0,0.8402815202008558,0.5,0.7800938400669519
quintile_1_N8_E10c_T12a_text_based,quintile_1,N8,E10c,T12a,text_based,arxiv_edge_003,edge_multihop,0.3333333333333333,0.8049348278412861,0.0,0.37942272039153985
quintile_1_N8_E10c_T12a_text_based,quintile_1,N8,E10c,T12a,text_based,arxiv_edge_004,edge_multihop,0.4,0.6292960040323452,0.0,0.3430986680107817
quintile_1_N8_E10c_T12a_text_based,quintile_1,N8,E10c,T12a,text_based,arxiv_edge_005,edge_multihop,1.0,0.0,1.0,0.6666666666666666
quintile_1_N8_E10c_T12a_text_based,quintile_1,N8,E10c,T12a,text_based,arxiv_edge_006,edge_multihop,1.0,0.0,0.0,0.3333333333333333
quintile_1_N8_E10c_T12a_text_based,quintile_1,N8,E10c,T12a,text_based,arxiv_edge_007,edge_multihop,1.0,0.0,0.0,0.3333333333333333
quintile_1_N8_E10c_T12a_text_based,quintile_1,N8,E10c,T12a,text_based,arxiv_edge_008,edge_multihop,0.25,0.8311252505174412,1.0,0.6937084168391471
quintile_1_N8_E10c_T12a_text_based,quintile_1,N8,E10c,T12a,text_based,arxiv_edge_009,edge_multihop,0.375,0.0,0.75,0.375
quintile_1_N8_E10c_T12a_text_based,quintile_1,N8,E10c,T12a,text_based,arxiv_edge_010,edge_multihop,0.5,0.9513152961604644,0.0,0.48377176538682143
quintile_1_N8_E10c_T12a_text_based,quintile_1,N8,E10c,T12a,text_based,arxiv_edge_011,edge_multihop,1.0,0.7542111714504331,0.0,0.5847370571501443
quintile_1_N8_E10c_T12a_text_based,quintile_1,N8,E10c,T12a,text_based,arxiv_edge_012,edge_multihop,1.0,0.7279570219515544,0.0,0.5759856739838515
quintile_1_N8_E10c_T12a_text_based,quintile_1,N8,E10c,T12a,text_based,arxiv_edge_013,edge_multihop,0.8571428571428571,0.8032358979931623,0.0,0.5534595850453398
quintile_1_N8_E10c_T12a_text_based,quintile_1,N8,E10c,T12a,text_based,arxiv_edge_014,edge_multihop,1.0,0.6881692771638631,0.0,0.5627230923879544
quintile_1_N8_E10c_T12a_text_based,quintile_1,N8,E10c,T12a,text_based,arxiv_edge_015,edge_multihop,0.5,0.8980790964823321,0.5,0.6326930321607773
quintile_1_N8_E10c_T12a_text_based,quintile_1,N8,E10c,T12a,text_based,arxiv_edge_016,edge_multihop,0.9090909090909091,0.7895942718529554,0.0,0.5662283936479549
quintile_1_N8_E10c_T12a_text_based,quintile_1,N8,E10c,T12a,text_based,arxiv_edge_017,edge_multihop,0.5714285714285714,0.6050307492726608,0.5,0.5588197735670773
quintile_1_N8_E10c_T12a_text_based,quintile_1,N8,E10c,T12a,text_based,arxiv_edge_018,edge_multihop,0.7777777777777778,0.6724288159524119,0.0,0.48340219791006317
quintile_1_N8_E10c_T12a_text_based,quintile_1,N8,E10c,T12a,text_based,arxiv_edge_019,edge_multihop,0.7142857142857143,0.806722992212924,1.0,0.8403362354995462
quintile_1_N8_E10c_T12a_text_based,quintile_1,N8,E10c,T12a,text_based,arxiv_edge_020,edge_multihop,1.0,0.8304364284725166,1.0,0.943478809490839
quintile_1_N8_E10c_T12a_text_based,quintile_1,N8,E10c,T12a,text_based,arxiv_edge_021,edge_multihop,0.75,0.6141777195417703,1.0,0.7880592398472568
quintile_1_N8_E10c_T12a_text_based,quintile_1,N8,E10c,T12a,text_based,arxiv_edge_022,edge_multihop,1.0,0.7597122636359458,1.0,0.9199040878786486
quintile_1_N8_E10c_T12a_text_based,quintile_1,N8,E10c,T12a,text_based,arxiv_edge_023,edge_multihop,0.5,0.7642462782733993,0.0,0.42141542609113314
quintile_1_N8_E10c_T12a_text_based,quintile_1,N8,E10c,T12a,text_based,arxiv_edge_024,edge_multihop,1.0,0.0,0.0,0.3333333333333333
quintile_1_N8_E10c_T12a_text_based,quintile_1,N8,E10c,T12a,text_based,arxiv_edge_025,edge_multihop,0.7142857142857143,0.816759956993525,0.0,0.5103485570930798
quintile_1_N8_E10c_T12a_text_based,quintile_1,N8,E10c,T12a,text_based,arxiv_edge_026,edge_multihop,1.0,0.7828040549601741,1.0,0.9276013516533914
quintile_1_N8_E10c_T12a_text_based,quintile_1,N8,E10c,T12a,text_based,arxiv_edge_027,edge_multihop,0.0,0.0,0.5,0.16666666666666666
quintile_1_N8_E10c_T12a_text_based,quintile_1,N8,E10c,T12a,text_based,arxiv_edge_028,edge_multihop,0.8333333333333334,0.6492848698288003,0.0,0.49420606772071124
quintile_1_N8_E10c_T12a_text_based,quintile_1,N8,E10c,T12a,text_based,arxiv_edge_029,edge_multihop,1.0,0.0,0.0,0.3333333333333333
quintile_1_N8_E10c_T12a_text_based,quintile_1,N8,E10c,T12a,text_based,arxiv_edge_030,edge_multihop,0.3333333333333333,0.8152324361375046,0.5,0.549521923156946
quintile_1_N8_E10c_T12a_text_based,quintile_1,N8,E10c,T12a,text_based,arxiv_edge_031,edge_multihop,0.6,0.8395844784602512,0.5,0.6465281594867504
quintile_1_N8_E10c_T12a_text_based,quintile_1,N8,E10c,T12a,text_based,arxiv_edge_032,edge_multihop,0.6,0.713107938160496,0.5,0.6043693127201654
quintile_1_N8_E10c_T12a_text_based,quintile_1,N8,E10c,T12a,text_based,arxiv_edge_033,edge_multihop,0.42857142857142855,0.8581593514174789,0.0,0.42891025999630245
quintile_1_N8_E10c_T12a_community_based,quintile_1,N8,E10c,T12a,community_based,arxiv_sh_000,single_specific,0.8571428571428571,0.6223484103837278,0.0,0.4931637558421949
quintile_1_N8_E10c_T12a_community_based,quintile_1,N8,E10c,T12a,community_based,arxiv_sh_001,single_specific,1.0,0.9438759080480285,1.0,0.9812919693493428
quintile_1_N8_E10c_T12a_community_based,quintile_1,N8,E10c,T12a,community_based,arxiv_sh_002,single_specific,1.0,0.8645144418380047,1.0,0.9548381472793349
quintile_1_N8_E10c_T12a_community_based,quintile_1,N8,E10c,T12a,community_based,arxiv_sh_003,single_specific,1.0,0.6699310633297535,1.0,0.8899770211099178
quintile_1_N8_E10c_T12a_community_based,quintile_1,N8,E10c,T12a,community_based,arxiv_sh_004,single_specific,0.6666666666666666,0.9363328268406855,1.0,0.867666497835784
quintile_1_N8_E10c_T12a_community_based,quintile_1,N8,E10c,T12a,community_based,arxiv_sh_005,single_specific,1.0,0.0,0.0,0.3333333333333333
quintile_1_N8_E10c_T12a_community_based,quintile_1,N8,E10c,T12a,community_based,arxiv_sh_006,single_specific,1.0,0.0,0.0,0.3333333333333333
quintile_1_N8_E10c_T12a_community_based,quintile_1,N8,E10c,T12a,community_based,arxiv_sh_007,single_specific,1.0,0.9906204595268212,1.0,0.9968734865089405
quintile_1_N8_E10c_T12a_community_based,quintile_1,N8,E10c,T12a,community_based,arxiv_sh_008,single_specific,1.0,0.9009679389517923,1.0,0.9669893129839308
quintile_1_N8_E10c_T12a_community_based,quintile_1,N8,E10c,T12a,community_based,arxiv_sh_009,single_specific,0.8461538461538461,0.9448258178609504,0.0,0.5969932213382655
