system_name,node_idx,edge_idx,text_idx,system_type,train_mean,question_id,question_subtype,faithfulness,answer_relevance,context_relevance,composite_score
N7_E10b_T12a_text_based,N7,E10b,T12a,text_based,9.755687271397711,toys_sh_026,single_specific,0.8,0.8928935245938027,0.25,0.647631174864601
N7_E10b_T12a_text_based,N7,E10b,T12a,text_based,9.755687271397711,toys_sh_013,single_specific,1.0,0.5484721788406011,0.0,0.516157392946867
N7_E10b_T12a_text_based,N7,E10b,T12a,text_based,9.755687271397711,toys_sh_024,single_specific,1.0,0.0,0.0,0.3333333333333333
N7_E10b_T12a_text_based,N7,E10b,T12a,text_based,9.755687271397711,toys_sh_021,single_specific,1.0,0.9999996820202309,1.0,0.9999998940067436
N7_E10b_T12a_text_based,N7,E10b,T12a,text_based,9.755687271397711,toys_sh_015,single_specific,1.0,0.9573624511137875,1.0,0.9857874837045958
N7_E10b_T12a_text_based,N7,E10b,T12a,text_based,9.755687271397711,toys_sh_029,single_specific,1.0,0.0,0.0,0.3333333333333333
N7_E10b_T12a_text_based,N7,E10b,T12a,text_based,9.755687271397711,toys_sh_019,single_specific,1.0,0.8280323934630062,0.0,0.6093441311543354
N7_E10b_T12a_text_based,N7,E10b,T12a,text_based,9.755687271397711,toys_agg_031,aggregate_cross_paper,0.8,0.7266438963949703,0.5,0.6755479654649901
N7_E10b_T12a_text_based,N7,E10b,T12a,text_based,9.755687271397711,toys_agg_015,aggregate_cross_paper,0.75,0.41642821874481234,0.0,0.38880940624827076
N7_E10b_T12a_text_based,N7,E10b,T12a,text_based,9.755687271397711,toys_agg_026,aggregate_cross_paper,0.5,0.4880960480395264,0.5,0.4960320160131755
N7_E10b_T12a_text_based,N7,E10b,T12a,text_based,9.755687271397711,toys_agg_017,aggregate_cross_paper,0.5,0.4465821195466817,0.5,0.4821940398488939
N7_E10b_T12a_text_based,N7,E10b,T12a,text_based,9.755687271397711,toys_agg_008,aggregate_cross_paper,0.42857142857142855,0.7180829776091332,0.25,0.4655514687268539
N7_E10b_T12a_text_based,N7,E10b,T12a,text_based,9.755687271397711,toys_agg_009,aggregate_cross_paper,0.5,0.4905846164299908,0.0,0.33019487214333026
N7_E10b_T12a_text_based,N7,E10b,T12a,text_based,9.755687271397711,toys_agg_019,aggregate_cross_paper,0.5555555555555556,0.5638167009748568,0.5,0.5397907521768041
N7_E10b_T12a_text_based,N7,E10b,T12a,text_based,9.755687271397711,toys_edge_015,edge_multihop,1.0,0.0,0.0,0.3333333333333333
N7_E10b_T12a_text_based,N7,E10b,T12a,text_based,9.755687271397711,toys_edge_019,edge_multihop,1.0,0.0,0.0,0.3333333333333333
N7_E10b_T12a_text_based,N7,E10b,T12a,text_based,9.755687271397711,toys_edge_027,edge_multihop,1.0,0.8502033706300431,0.0,0.616734456876681
N7_E10b_T12a_text_based,N7,E10b,T12a,text_based,9.755687271397711,toys_edge_026,edge_multihop,1.0,0.0,0.0,0.3333333333333333
N7_E10b_T12a_text_based,N7,E10b,T12a,text_based,9.755687271397711,toys_edge_008,edge_multihop,0.8571428571428571,0.8804696434538631,0.5,0.74587083353224
N7_E10b_T12a_text_based,N7,E10b,T12a,text_based,9.755687271397711,toys_edge_024,edge_multihop,0.75,0.0,0.0,0.25
N7_E10b_T12b_text_based,N7,E10b,T12b,text_based,7.971351582214677,toys_sh_026,single_specific,0.8,0.8929050550981374,0.25,0.6476350183660459
N7_E10b_T12b_text_based,N7,E10b,T12b,text_based,7.971351582214677,toys_sh_013,single_specific,1.0,0.5485056856004612,0.0,0.5161685618668205
N7_E10b_T12b_text_based,N7,E10b,T12b,text_based,7.971351582214677,toys_sh_024,single_specific,1.0,0.0,0.0,0.3333333333333333
N7_E10b_T12b_text_based,N7,E10b,T12b,text_based,7.971351582214677,toys_sh_021,single_specific,1.0,0.9999995230303466,1.0,0.9999998410101155
N7_E10b_T12b_text_based,N7,E10b,T12b,text_based,7.971351582214677,toys_sh_015,single_specific,1.0,0.9573623312597989,1.0,0.9857874437532663
N7_E10b_T12b_text_based,N7,E10b,T12b,text_based,7.971351582214677,toys_sh_029,single_specific,1.0,0.0,0.0,0.3333333333333333
N7_E10b_T12b_text_based,N7,E10b,T12b,text_based,7.971351582214677,toys_sh_019,single_specific,1.0,0.8255822241062781,0.0,0.608527408035426
N7_E10b_T12b_text_based,N7,E10b,T12b,text_based,7.971351582214677,toys_agg_031,aggregate_cross_paper,0.6666666666666666,0.7785193471277211,0.5,0.6483953379314625
