question_id,question_subtype,split
toys_agg_000,aggregate_cross_paper,train
toys_agg_001,aggregate_cross_paper,test
toys_agg_002,aggregate_cross_paper,test
toys_agg_003,aggregate_cross_paper,test
toys_agg_004,aggregate_cross_paper,train
toys_agg_005,aggregate_cross_paper,train
toys_agg_006,aggregate_cross_paper,test
toys_agg_007,aggregate_cross_paper,train
toys_agg_008,aggregate_cross_paper,test
toys_agg_009,aggregate_cross_paper,train
toys_agg_010,aggregate_cross_paper,train
toys_agg_011,aggregate_cross_paper,train
toys_agg_012,aggregate_cross_paper,train
toys_agg_013,aggregate_cross_paper,train
toys_agg_014,aggregate_cross_paper,test
toys_agg_015,aggregate_cross_paper,train
toys_agg_016,aggregate_cross_paper,train
toys_agg_017,aggregate_cross_paper,test
toys_agg_018,aggregate_cross_paper,train
toys_agg_019,aggregate_cross_paper,train
toys_agg_020,aggregate_cross_paper,test
toys_agg_021,aggregate_cross_paper,test
toys_agg_022,aggregate_cross_paper,train
toys_agg_023,aggregate_cross_paper,test
toys_agg_024,aggregate_cross_paper,test
toys_agg_025,aggregate_cross_paper,train
toys_agg_026,aggregate_cross_paper,train
toys_agg_027,aggregate_cross_paper,train
toys_agg_028,aggregate_cross_paper,train
toys_agg_029,aggregate_cross_paper,test
toys_agg_030,aggregate_cross_paper,train
toys_agg_031,aggregate_cross_paper,train
toys_agg_032,aggregate_cross_paper,test
toys_agg_033,aggregate_cross_paper,train
toys_agg_034,aggregate_cross_paper,train
toys_agg_035,aggregate_cross_paper,train
toys_agg_036,aggregate_cross_paper,test
toys_agg_037,aggregate_cross_paper,test
toys_agg_038,aggregate_cross_paper,test
toys_agg_039,aggregate_cross_paper,train
toys_agg_040,aggregate_cross_paper,train
toys_agg_041,aggregate_cross_paper,test
toys_agg_042,aggregate_cross_paper,train
toys_agg_043,aggregate_cross_paper,test
toys_agg_044,aggregate_cross_paper,train
toys_agg_045,aggregate_cross_paper,train
toys_agg_046,aggregate_cross_paper,test
