id,dataset,question,reference_answer,question_type,question_subtype,source_row_id,source_category_labels,source_text_preview,hop_type,multi_hop_stub,hop_source_ids
electronics_sh_000,electronics,How does the reviewer compare the ZenRich case to other brands?,"The reviewer compares the ZenRich case to an Otterbox, suggesting that it offers similar protection for their iPad 7th generation.",descriptive,single_specific,B07Y9D53NR,,"ZenRich iPad 9th Generation Case, iPad 8th/7th Generation 10.2 Case with Pencil Holder Kickstand Han",single,,
electronics_sh_001,electronics,What issue might arise from the design of the stand in the BENTOBEN case for Fire HD 8?,"The stand is located on the same side as the speakers, which can cause the sound to be a little muted depending on the surface it is placed on.",descriptive,single_specific,B06XRQV7MV,,"BENTOBEN Case for Fire HD 8 (2018/2017/2016 Release, 8th/7th/6th Generation) Glitter Sparkly Folio F",single,,
electronics_sh_002,electronics,What issue did the user encounter when trying to use the briefcase with their laptop?,"The user found that the briefcase was too tight for their 16-inch laptop, which prevented it from zipping up properly and made it difficult to remove the laptop after forcing it closed.",descriptive,single_specific,B07CM5Q77B,,"Qishare 10 11"" 11.6"" 11.6-inch 12 Inch Black Multi-Functional Business Briefcase/Messenger Case with",single,,
electronics_sh_003,electronics,What issue did the reviewer experience with the battery of the Dell Inspiron laptop?,"The battery was not recognized by the laptop, would not charge, and rendered the device useless.",descriptive,single_specific,B00K4PALMI,,"Dell Inspiron i5547-5780sLV 15.6-Inch Laptop First, I'm not sure if it's Dell's fault or who is to b",single,,
electronics_sh_004,electronics,What feature of the Valkit Airpods Pro case contributes to its durability?,"The case is described as very durable and sturdy, indicating its robust construction.",descriptive,single_specific,B098LB6NR9,,"Valkit for Airpods Pro Case Cover for Men with Lock, Military Armor Series Full-Body AirPod Pro Case",single,,
electronics_sh_005,electronics,Why does the user find the AfterShokz Titanium headphones suitable for their needs despite discomfort?,The user finds the headphones suitable because they allow their ears to remain open while receiving GPS information as a blind pedestrian.,descriptive,single_specific,B018XNGO5A,,"AfterShokz Titanium Open Ear Wireless Bone Conduction Headphones (Standard, Ocean Blue) I don't find",single,,
electronics_sh_006,electronics,How does the reviewer describe the sound quality of the Sonos Move compared to other Bluetooth speakers?,"The reviewer describes the sound quality of the Sonos Move as rich, deep, warm, and seductive, stating that it is almost the loudest among their Bluetooth speakers and makes music sound as if it is being performed right in front of them.",descriptive,single_specific,B07W95RBZM,,"Sonos Move - Battery-Powered Smart Speaker, Wi-Fi and Bluetooth with Alexa Built-in - Black​​​​​​​ I",single,,
electronics_sh_007,electronics,What device does the Amazon Basics Lightning to USB cable charge without issues?,The cable charges an iPhone 6 without issues.,descriptive,single_specific,B00B3OA7R8,,Amazon Basics Apple Certified Lightning to USB Cable - 6 Feet (1.8 Meters) - Black Cable charges my ,single,,
electronics_sh_008,electronics,How many AC outlets and USB ports does the Power Strip Tower by KOOSLA have?,The Power Strip Tower has 12 AC outlets and 6 USB ports.,descriptive,single_specific,B091FX58N7,,"Power Strip Tower by KOOSLA, [15A 1500J] Surge Protector - 12 AC Multiple Outlets & 6 USB Ports, Fla",single,,
electronics_sh_009,electronics,What was a specific reason the user needed to replace the original antenna that came with their motherboard?,"The user needed to replace the original antenna because their cat chewed the wires, which made the Bluetooth stop working.",descriptive,single_specific,B07JVDNDCR,,"Eightwood Dual WiFi Antenna with RP-SMA Male Connector, 2.4GHz 5GHz Dual Band Antenna Magnetic Base ",single,,
electronics_sh_010,electronics,What issue did the user experience with the headset when trying to move around while using it?,"The headset constantly falls off the user's head unless they stay still, making it unsuitable for hands-free movement around the house.",descriptive,single_specific,B01KFLGL5Q,,"Arama Cell Phone Headset w/Lightweight Secure-Fit Headband, Pro Noise Canceling Mic and in-line Cont",single,,
electronics_sh_011,electronics,What material is the Cambridge Soundworks Official Carry Case made of?,The carry case is made of neoprene.,descriptive,single_specific,B00V7WUFTG,,"Cambridge Soundworks Official Carry Case for OontZ Ultra Bluetooth Speaker, Neoprene with Aluminum C",single,,
electronics_sh_012,electronics,Why did the user choose the Luna Wireless Controller over a regular Xbox controller?,The user chose the Luna because it was lower in cost and already listed as a compatible option for their TV.,descriptive,single_specific,B07P989QTJ,,"Official Luna Wireless Controller I'm not a ""gamer"" by any means, but I do enjoy playing some games ",single,,
electronics_sh_013,electronics,What issue is mentioned regarding the trackpad of the Logitech Wireless Touch Keyboard K400?,The trackpad is described as being a little unresponsive at times.,descriptive,single_specific,B005DKZTMG,,Logitech Wireless Touch Keyboard K400 with Built-In Multi-Touch Touchpad no issue other than the tra,single,,
electronics_sh_014,electronics,What size screw is recommended for attaching the cable clips to drywall?,A 1.25 inch screw is recommended for attaching the cable clips to drywall.,descriptive,single_specific,B07BZQBJF7,,"THE CIMPLE CO - Single Coaxial Cable Clips, Cat6, Electrical Wire Cable Clip, 1/4 in (6 mm) Screw Cl",single,,
electronics_sh_015,electronics,What is a notable advantage of the USB hub mentioned in the text?,"A notable advantage of the USB hub is that it comes with an adapter, making it convenient for use with machines that do not have USB-C ports or data functionality on those ports.",descriptive,single_specific,B0BKSGXVSN,,"USB C to USB Hub 4 Ports, Siawclub USB 3.0 Hub with a Type C to USB Adapter, Thunderbolt 3 to USB Hu",single,,
electronics_sh_016,electronics,How many pieces of cord organizers are included in the package and what are their colors?,"The package includes 20 pieces of cord organizers, with 10 being long and brown, and 10 being short and black.",descriptive,single_specific,B08HHH75RC,,"20 Pcs Cord Organizer, Stocking Stuffers for Men Portable Earphone Cord Winder keeper, Portable USB ",single,,
electronics_sh_017,electronics,"What issue is mentioned regarding the fit of the MoKo Case for the iPad Pro 11"" 2018?",The case is stated to not fit the size as indicated.,descriptive,single_specific,B07H2TMG2D,,"MoKo Case Fit iPad Pro 11"" 2018 - Translucent Frosted Back Protector Smart Shell Stand Cover with Pe",single,,
electronics_sh_018,electronics,How does the INVELLOP anti-glare screen protector perform in terms of preventing fingerprints and dust?,"The INVELLOP anti-glare screen protector effectively prevents a lot of fingerprints and dust, although it may show some smudges after long usage.",descriptive,single_specific,B00951UZPA,,INVELLOP ANTI-GLARE 3-pack Screen protectors for Kindle Fire HD 7-Inch Easy to apply and works as in,single,,
electronics_sh_019,electronics,"How does the 10mm eyepiece perform for someone who wears glasses, according to the user experience mentioned?","The 10mm eyepiece works well for the user who wears glasses, providing a crisp and clear field of view.",relational,single_specific,B01JS87ZI4,,SVBONY Telescope Lens 10mm Eyepieces Wide Angle 62 Degree Aspheric Eyepiece Fully Coated Telescope A,single,,
electronics_sh_020,electronics,How many stations does the 1byone OUS00-0569 antenna provide access to?,The 1byone OUS00-0569 antenna provides access to over 100 stations.,descriptive,single_specific,B00RFLXDII,,"1byone OUS00-0569 50 Miles HD Digital TV Antenna with Detachable HDTV Amplifier Signal Booster, Supp",single,,
electronics_sh_021,electronics,What issue does the reviewer mention regarding the Echo Dot's responsiveness?,The reviewer notes that sometimes the device does not respond to the wakeup word or hears it incorrectly.,descriptive,single_specific,B084J4MJCK,,"Echo Dot (4th Gen, 2020 release) Kids | Designed for kids, with parental controls | Panda My reason ",single,,
