id,dataset,question,reference_answer,question_type,question_subtype,source_row_id,source_category_labels,source_text_preview,hop_type,multi_hop_stub,hop_source_ids
toys_sh_026,toys,What features does the Haktoys 2-in-1 Activity Toy include for entertainment and learning?,"The toy includes music that can be turned on or off, flashing lights, and a rotating projector that displays sky constellations.",descriptive,single_specific,B0787PTQ29,,Haktoys 2-in-1 Activity Toy & Night Lamp Sky Constellation Rotating Projector Fun Learning Entertain,single,,
toys_sh_013,toys,What does the reviewer express about their son's feelings towards the playset?,The reviewer states that their son loves the playset.,descriptive,single_specific,B00C6PXLMQ,,Fisher-Price Disney's Jake and The Never Land Pirates: Jake's Magical Tiki Hideout Playset My son lo,single,,
toys_sh_024,toys,What challenge do many kids face when using the Matchbox Grow Pro Playset?,"Many kids want instant results, and the waiting for the seeds to sprout can be aggravating for them.",descriptive,single_specific,B01ARGB1GI,,Matchbox Grow Pro Playset This is a really fun idea. But I must say that it can be a bit “challengin,single,,
toys_sh_021,toys,What age group is the Humerry Wooden Alphabet Puzzle designed for?,The Humerry Wooden Alphabet Puzzle is designed for toddlers and preschool-aged children.,descriptive,single_specific,B07QXT2BZQ,,"Humerry Wooden Alphabet Puzzle for Toddlers, Chunky ABC Puzzles Board Educational Toys for Kids, Pre",single,,
toys_sh_015,toys,What issue did the reviewer encounter during the assembly of the KidKraft play kitchen?,The reviewer found that they mixed the copper screws with the silver ones during assembly.,descriptive,single_specific,B00592BOAO,,"KidKraft Uptown Natural Wooden Play Kitchen with Play Phone, Chalkboard & Towel Rack, Gift for Ages ",single,,
toys_sh_029,toys,What issue do the Bristle Blocks have right out of the box?,The vast majority of the blocks won't stick together when first taken out of the box.,descriptive,single_specific,B007GAXMJI,,Bristle Blocks by Battat - STEM Building Blocks for Kids - Soft Developmental Toys - 56pc Playset – ,single,,
toys_sh_019,toys,What are the steps to customize the Fidget Roulette according to the seller's instructions?,"To customize the Fidget Roulette, first twist the top and bottom shell to open it, then remove the sticker to access a screw. After removing the screw, download and print your desired Answer Wheel from the website, and finally reassemble the toy.",descriptive,single_specific,B09GF5QJMB,,Fidget Roulette - Handheld Fortune Telling Decision Making Fidget Toy with Spinning Wheel - [Gift Id,single,,
toys_agg_031,toys,"Which product or products from this group would best support a child's interest in both science and creativity, considering the themes of nature and imaginative play?","Product 1 (Canal Toys So Magic DIY - Large- Magic Terrarium Kit- Desert) and Product 3 (Butterfly Garden: Original Habitat and Live Cup of Caterpillars with STEM Butterfly Journal) both focus on nature and science, while Product 2 (Magic Mixies - Magical Mist and Spells Refill Pack for Magic Cauldron) adds an element of imaginative play, making them collectively suitable for fostering both scientific curiosity and creativity.",descriptive,aggregate_cross_paper,,"['B079YVF6FB', 'B07R7S22X6', 'B07WDNCLKC', 'B08HLT7W9R', 'B0BRSD3YP1']",,single,,
toys_agg_015,toys,"Which products from this group are designed for outdoor or water-related activities, and how do they differ in their intended use or target audience?","Products 2 and 3 are designed for outdoor or water-related activities as they are both pool floats. Product 2 is a multi-purpose inflatable hammock suitable for adults, while Product 3 is a saddle-style float that can be used in pools and lakes, also targeting adults. In contrast, Product 1 is a toddler costume, which is intended for dress-up play rather than water activities.",relational,aggregate_cross_paper,,"['B00CI6J3QG', 'B08BQFHR41', 'B09PH8LV57', 'B0BLSLG2LR', 'B0BTV2H8LZ']",,single,,
toys_agg_026,toys,"Which product in this group is best suited for a child who enjoys both imaginative play and physical activity, considering the features and purposes of the other products?","NERF Trick Shot Golf Set - Indoor & Outdoor Putting Trick Shot Kids Golf Set, as it combines physical activity with imaginative play, unlike the other products that focus more on either imaginative play (like the telescope and Thomas & Friends set) or are more passive toys (like the plush pillow and baby blocks).",relational,aggregate_cross_paper,,"['B000LSZVKA', 'B000YFSZU8', 'B075DR7DYW', 'B09RQJXTTR', 'B0BWY6ZDT8']",,single,,
toys_agg_017,toys,Which product in this group is best suited for outdoor play and can be used in conjunction with the other products for a fun-filled activity day?,"Stomp Rocket The Original Ultra Rocket Launcher (LED - 6 Rockets) is best suited for outdoor play and can be used alongside the Skip Hop Baby Rattle for younger children, the Nerf N-Strike Elite 12 Dart Refill for older kids, and the Gamewright Dragonwood board game for indoor fun.",descriptive,aggregate_cross_paper,,"['B000Q382KG', 'B0083TXZ16', 'B07DFQPDPW', 'B084K4P659', 'B0BZJFF2BF']",,single,,
toys_agg_008,toys,"Which product in this group is best suited for outdoor play and physical activity, and what features do the other products offer that complement this type of play?","The Gorilla Playsets 17in Trapeze Bar with Rings is best suited for outdoor play and physical activity. The Cave Club Dino Baby Crystals offers imaginative play with collectible toys, while the Gazillion Tornado Bubble Machine adds an element of fun and excitement to outdoor activities by creating bubbles. The RC Plane provides a different type of outdoor engagement through flying, making all these products complement active play.",descriptive,aggregate_cross_paper,,"['B0019JE68I', 'B07SDHM1NV', 'B07XQW9HJW', 'B08SZ748FQ', 'B08XY6CX4K']",,single,,
toys_agg_009,toys,"Which product from the list is best suited for outdoor summer activities that involve water play, and how do the other products complement or contrast with this use case?","The Little Tikes Splash Face Childs Toy is best suited for outdoor summer activities that involve water play. The Coconut Float Pool Floats and Gigantic Pelican Pool Raft also cater to water activities, providing options for relaxation and fun in the pool. In contrast, the Little Tikes Backyard Barbeque Get Out 'N Grill focuses on outdoor cooking and social gatherings rather than water play, while the Hot Wheels Massive Loop Mayhem Track Set and AIWAN LEZHI IQ Toys are more geared towards indoor play and mental challenges, respectively.",descriptive,aggregate_cross_paper,,"['B0057576XC', 'B01LXNEAQO', 'B075TM3LP4', 'B07DVGQW6K', 'B09PMNV5DM']",,single,,
toys_agg_019,toys,"Which product among the group is best suited for promoting creativity and fine motor skills in children, and how do the other products compare in terms of their developmental benefits?","The BAVEEL 3 Packs LCD Writing Board is best suited for promoting creativity and fine motor skills as it encourages drawing and writing. In contrast, the Boon WATER BUGS focuses on sensory play during bath time, which enhances sensory development. The MONOPOLY Classic Game promotes strategic thinking and social skills, while the Nerf N-Strike Elite Firestrike encourages physical activity and hand-eye coordination. Ryan's World Super Spy Figures foster imaginative play, but do not directly enhance fine motor skills like the writing board.",descriptive,aggregate_cross_paper,,"['B009T45XY6', 'B01MU9K3XU', 'B085G2219R', 'B0B4PFTDC9', 'B0C13ZB1L9']",,single,,
toys_edge_015,toys,How does the shared reviewer feel about the educational value of the Playz Flat 6 Model Engine Building Kit compared to the entertainment value of the Halloween Toys Bulk pack?,"The shared reviewer expresses a strong appreciation for the educational value of the Playz Flat 6 Model Engine Building Kit, highlighting how it helps kids learn about engines and builds confidence for future STEM classes. In contrast, while they recommend the Halloween Toys Bulk pack for its fun and entertainment value at parties, they do not mention any educational benefits, indicating a clear distinction in their views on the two products' purposes.",descriptive,edge_multihop,,,,single,,"['B09581B68J', 'B0B3JCV72N']"
toys_edge_019,toys,"How does the shared reviewer compare the educational benefits of the Melissa & Doug First Play Slide, Sort & Roll Activity Barn to those of the VTech Cars Ready to Race Lightning McQueen?","The reviewer highlights that both toys provide educational benefits, with the Melissa & Doug barn focusing on motor skills and thinking skills through imaginative play with farm animals, while the VTech Lightning McQueen game also develops motor skills but adds elements of puzzle solving and learning letters and numbers, indicating a broader range of educational engagement.",descriptive,edge_multihop,,,,single,,"['B081TZNS28', 'B06XKMSMBD']"
