variant,node_type,question_id,question_subtype,split,faithfulness,answer_relevance,context_relevance,composite,wall_time_seconds
N7_E10b_T12a,N7,history_sh_000,single_specific,test,0.6666666666666666,0.0,0.0,0.2222222222222222,376.1677050590515
N7_E10b_T12a,N7,history_sh_001,single_specific,train,1.0,0.9622016410273004,0.0,0.6540672136757668,376.1677050590515
N7_E10b_T12a,N7,history_sh_002,single_specific,test,1.0,0.0,1.0,0.6666666666666666,376.1677050590515
N7_E10b_T12a,N7,history_sh_003,single_specific,test,1.0,0.0,0.0,0.3333333333333333,376.1677050590515
N7_E10b_T12a,N7,history_sh_004,single_specific,test,0.6666666666666666,0.8818629430484682,0.0,0.5161765365717116,376.1677050590515
N7_E10b_T12a,N7,history_sh_005,single_specific,test,1.0,0.8242624714596939,0.0,0.6080874904865646,376.1677050590515
N7_E10b_T12a,N7,history_sh_006,single_specific,train,1.0,0.9022369918775278,0.0,0.6340789972925093,376.1677050590515
N7_E10b_T12a,N7,history_sh_007,single_specific,train,1.0,0.0,0.0,0.3333333333333333,376.1677050590515
N7_E10b_T12a,N7,history_sh_008,single_specific,test,1.0,0.0,0.0,0.3333333333333333,376.1677050590515
N7_E10b_T12a,N7,history_sh_009,single_specific,train,1.0,0.8432497539822609,1.0,0.9477499179940868,376.1677050590515
N7_E10b_T12a,N7,history_sh_010,single_specific,test,0.6666666666666666,0.0,0.0,0.2222222222222222,376.1677050590515
N7_E10b_T12a,N7,history_sh_011,single_specific,train,1.0,0.7108052131801514,0.0,0.5702684043933838,376.1677050590515
N7_E10b_T12a,N7,history_sh_012,single_specific,test,1.0,0.0,0.0,0.3333333333333333,376.1677050590515
N7_E10b_T12a,N7,history_sh_013,single_specific,test,1.0,0.0,0.0,0.3333333333333333,376.1677050590515
N7_E10b_T12a,N7,history_sh_014,single_specific,test,0.5,0.0,0.0,0.1666666666666666,376.1677050590515
N7_E10b_T12a,N7,history_sh_015,single_specific,train,1.0,0.5695649615417012,0.0,0.5231883205139004,376.1677050590515
N7_E10b_T12a,N7,history_sh_016,single_specific,train,1.0,0.0,0.0,0.3333333333333333,376.1677050590515
N7_E10b_T12a,N7,history_sh_017,single_specific,train,0.0,0.0,0.5,0.1666666666666666,376.1677050590515
N7_E10b_T12a,N7,history_sh_018,single_specific,train,0.3333333333333333,0.9083858081051676,0.0,0.4139063804795003,376.1677050590515
N7_E10b_T12a,N7,history_sh_019,single_specific,test,1.0,0.8807986317660099,0.0,0.6269328772553366,376.1677050590515
N7_E10b_T12a,N7,history_sh_020,single_specific,train,0.5,0.0,0.0,0.1666666666666666,376.1677050590515
N7_E10b_T12a,N7,history_sh_021,single_specific,train,0.0,0.8178484112836916,1.0,0.6059494704278973,376.1677050590515
N7_E10b_T12a,N7,history_sh_022,single_specific,test,0.5,0.8018633202707454,0.0,0.4339544400902484,376.1677050590515
N7_E10b_T12a,N7,history_sh_023,single_specific,train,1.0,0.9372555657390336,0.0,0.6457518552463445,376.1677050590515
N7_E10b_T12a,N7,history_sh_024,single_specific,test,1.0,0.8568730386427378,1.0,0.9522910128809126,376.1677050590515
N7_E10b_T12a,N7,history_sh_025,single_specific,train,0.3333333333333333,0.9999502109131118,1.0,0.7777611814154817,376.1677050590515
N7_E10b_T12a,N7,history_sh_026,single_specific,test,1.0,0.0,0.0,0.3333333333333333,376.1677050590515
N7_E10b_T12a,N7,history_sh_027,single_specific,test,1.0,0.8813907950649608,1.0,0.9604635983549868,376.1677050590515
N7_E10b_T12a,N7,history_sh_028,single_specific,test,0.5,0.0,0.0,0.1666666666666666,376.1677050590515
N7_E10b_T12a,N7,history_sh_029,single_specific,test,0.3333333333333333,0.0,0.0,0.1111111111111111,376.1677050590515
N7_E10b_T12a,N7,history_sh_030,single_specific,train,1.0,0.8513510177363077,0.0,0.6171170059121026,376.1677050590515
N7_E10b_T12a,N7,history_sh_031,single_specific,test,1.0,0.9005592224381891,0.0,0.6335197408127297,376.1677050590515
N7_E10b_T12a,N7,history_sh_032,single_specific,test,1.0,0.9999996338700892,1.0,0.9999998779566964,376.1677050590515
N7_E10b_T12a,N7,history_sh_033,single_specific,train,1.0,0.8812919009216417,0.0,0.6270973003072139,376.1677050590515
N7_E10b_T12a,N7,history_sh_034,single_specific,train,0.0,0.6930102225761096,0.0,0.2310034075253698,376.1677050590515
N7_E10b_T12a,N7,history_agg_000,aggregate_cross_paper,train,1.0,0.0,0.0,0.3333333333333333,376.1677050590515
N7_E10b_T12a,N7,history_agg_001,aggregate_cross_paper,test,0.6,0.0,0.0,0.1999999999999999,376.1677050590515
N7_E10b_T12a,N7,history_agg_002,aggregate_cross_paper,test,0.5714285714285714,0.0,0.0,0.1904761904761904,376.1677050590515
N7_E10b_T12a,N7,history_agg_003,aggregate_cross_paper,test,1.0,0.0,0.0,0.3333333333333333,376.1677050590515
N7_E10b_T12a,N7,history_agg_004,aggregate_cross_paper,train,0.2222222222222222,0.7601391297817687,0.0,0.3274537840013303,376.1677050590515
N7_E10b_T12a,N7,history_agg_005,aggregate_cross_paper,train,1.0,0.0,0.0,0.3333333333333333,376.1677050590515
N7_E10b_T12a,N7,history_agg_006,aggregate_cross_paper,test,0.6666666666666666,0.815622015402918,0.0,0.4940962273565282,376.1677050590515
N7_E10b_T12a,N7,history_agg_007,aggregate_cross_paper,test,0.5,0.8844206785852146,0.25,0.5448068928617382,376.1677050590515
N7_E10b_T12a,N7,history_agg_008,aggregate_cross_paper,train,1.0,0.0,0.5,0.5,376.1677050590515
